f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
114.5126,206.65199999999996,312.22659999999996,321.5018,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.0878,14.999600000000001,20.552,20.505000000000003,ABEXIQ_clean
114.5126,206.65199999999993,312.2266,321.5018,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.087799999999999,14.999600000000003,20.552000000000003,20.505000000000003,ABEXIQ_clean
114.5126,206.65200000000002,312.2265999999999,321.5018,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.0878,14.999600000000003,20.552,20.505000000000003,ABEXIQ_clean
114.51259999999999,206.652,312.2266,321.5018,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.0878,14.999600000000001,20.552,20.505,ABEXIQ_clean
114.51259999999999,206.652,312.22659999999996,321.50180000000006,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.0878,14.9996,20.552,20.505,ABEXIQ_clean
60.33939999999999,83.18099999999998,117.51039999999998,94.66879999999999,328.0,456.0,640.0,512.0,6.0,10.0,12.0,8.0,22.0,42.0,28.0,8.0,3.3173999999999992,5.682600000000001,6.6284,4.263199999999999,ABEXIQ_clean
60.33939999999999,83.18099999999998,117.51039999999998,94.66879999999999,328.0,456.0,640.0,512.0,6.0,10.0,12.0,8.0,22.0,42.0,28.0,8.0,3.3173999999999992,5.682600000000001,6.628399999999999,4.263199999999999,ABEXIQ_clean
60.33939999999999,83.18099999999998,117.51039999999998,94.66879999999999,328.0,456.0,640.0,512.0,6.0,10.0,12.0,8.0,22.0,42.0,28.0,8.0,3.3174,5.682600000000001,6.628399999999999,4.263199999999999,ABEXIQ_clean
60.33939999999999,83.18099999999998,117.51039999999998,94.66879999999999,328.0,456.0,640.0,512.0,6.0,10.0,12.0,8.0,22.0,42.0,28.0,8.0,3.3173999999999992,5.682600000000001,6.628399999999999,4.263199999999999,ABEXIQ_clean
114.5126,206.65200000000002,312.22659999999996,321.50180000000006,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.0878,14.999599999999997,20.551999999999996,20.505000000000003,ABEXIQ_clean
114.5126,206.652,312.22659999999996,321.50180000000006,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.0878,14.999600000000001,20.552000000000003,20.505000000000003,ABEXIQ_clean
114.5126,206.652,312.2265999999999,321.5018,572.0,1032.0,1486.0,1436.0,14.0,28.0,40.0,42.0,68.0,156.0,194.0,186.0,7.0878,14.9996,20.552,20.505000000000003,ABEXIQ_clean
