f-sbu-chi-0,f-sbu-chi-1,f-sbu-chi-2,f-sbu-chi-3,f-sbu-Z-0,f-sbu-Z-1,f-sbu-Z-2,f-sbu-Z-3,f-sbu-I-0,f-sbu-I-1,f-sbu-I-2,f-sbu-I-3,f-sbu-T-0,f-sbu-T-1,f-sbu-T-2,f-sbu-T-3,f-sbu-S-0,f-sbu-S-1,f-sbu-S-2,f-sbu-S-3,mc-chi-0,mc-chi-1,mc-chi-2,mc-chi-3,mc-Z-0,mc-Z-1,mc-Z-2,mc-Z-3,mc-I-0,mc-I-1,mc-I-2,mc-I-3,mc-T-0,mc-T-1,mc-T-2,mc-T-3,mc-S-0,mc-S-1,mc-S-2,mc-S-3,D_mc-chi-0,D_mc-chi-1,D_mc-chi-2,D_mc-chi-3,D_mc-Z-0,D_mc-Z-1,D_mc-Z-2,D_mc-Z-3,D_mc-I-0,D_mc-I-1,D_mc-I-2,D_mc-I-3,D_mc-T-0,D_mc-T-1,D_mc-T-2,D_mc-T-3,D_mc-S-0,D_mc-S-1,D_mc-S-2,D_mc-S-3,name
107.6887,199.25119999999998,405.53200000000004,474.91199999999986,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.200000000000003,32.3266,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25119999999998,405.532,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.004399999999999,22.200000000000003,32.3266,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25119999999998,405.53200000000004,474.9119999999999,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.004399999999999,22.200000000000003,32.3266,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.2512,405.532,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.199999999999996,32.3266,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.2512,405.53200000000004,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.004399999999999,22.200000000000003,32.326600000000006,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25120000000004,405.53200000000004,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.200000000000003,32.326600000000006,31.724,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25119999999998,405.5319999999999,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.004399999999999,22.200000000000003,32.32659999999999,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25119999999998,405.53200000000004,474.9119999999999,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.200000000000003,32.326600000000006,31.724,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25119999999998,405.53200000000004,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.200000000000003,32.3266,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25120000000004,405.53200000000004,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.199999999999996,32.326600000000006,31.724000000000004,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.2512,405.53200000000004,474.912,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.200000000000003,32.326600000000006,31.724,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
107.6887,199.25119999999998,405.53200000000004,474.9119999999999,2874.0,5136.0,5362.0,2592.0,13.0,28.0,46.0,56.0,82.0,224.0,262.0,168.0,9.0044,22.20000000000001,32.326600000000006,31.724,2.856099999999999,33.52960000000001,25.857,44.548399999999994,2304.0,2208.0,1728.0,2304.0,1.0,6.0,6.0,10.666666666666666,36.0,84.0,112.0,156.0,2.1904,6.541600000000002,6.837599999999999,10.162666666666665,0.0,-9.700000000000001,-5.1599999999999975,-8.33333333333333,0.0,242.0,252.0,464.0,0.0,0.0,0.0,0.0,0.0,22.0,17.333333333333332,38.0,0.0,4.46,4.259999999999999,8.92,ATAHUA
