f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
71.77629999999999,121.48199999999997,201.2842,210.01839999999999,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9545999999999992,8.054200000000002,11.035400000000003,9.714599999999999,AVELOD_clean_primitive
144.9132,317.2710000000001,477.11000000000007,548.8170000000002,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000002,23.361800000000006,32.558,33.85,AVELOD_clean_primitive
144.91320000000002,317.27100000000013,477.1100000000002,548.8170000000001,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.6088,23.361800000000006,32.55800000000001,33.85000000000001,AVELOD_clean_primitive
144.9132,317.27100000000013,477.1100000000001,548.8170000000001,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000002,23.361800000000002,32.55800000000001,33.85000000000001,AVELOD_clean_primitive
71.7763,121.48199999999997,201.2842,210.0184,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9546,8.0542,11.035400000000001,9.7146,AVELOD_clean_primitive
144.91320000000002,317.2710000000002,477.1100000000001,548.817,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000002,23.36180000000001,32.55800000000001,33.85,AVELOD_clean_primitive
144.91320000000002,317.2710000000002,477.1100000000002,548.8170000000001,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000002,23.36180000000001,32.558000000000014,33.85,AVELOD_clean_primitive
144.91320000000002,317.27100000000013,477.1100000000002,548.817,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000004,23.36180000000001,32.55800000000001,33.85,AVELOD_clean_primitive
71.7763,121.48199999999999,201.2842,210.01840000000004,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9545999999999992,8.054200000000002,11.0354,9.7146,AVELOD_clean_primitive
144.9132,317.27100000000013,477.1100000000002,548.817,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000004,23.36180000000001,32.55800000000001,33.85,AVELOD_clean_primitive
71.77629999999999,121.482,201.2842,210.0184,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9545999999999992,8.054200000000002,11.0354,9.714599999999999,AVELOD_clean_primitive
144.9132,317.27100000000013,477.1100000000001,548.817,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000004,23.36180000000001,32.55800000000001,33.85,AVELOD_clean_primitive
71.7763,121.48199999999997,201.28419999999997,210.0184,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9545999999999983,8.054200000000002,11.0354,9.714599999999999,AVELOD_clean_primitive
71.77629999999999,121.48199999999999,201.28419999999997,210.0184,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9545999999999992,8.0542,11.0354,9.714599999999999,AVELOD_clean_primitive
71.7763,121.482,201.2842,210.01839999999999,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9545999999999992,8.054200000000002,11.035400000000001,9.7146,AVELOD_clean_primitive
71.77629999999999,121.48199999999999,201.28420000000003,210.01839999999999,289.0,468.0,640.0,532.0,10.0,18.0,30.0,30.0,48.0,108.0,102.0,54.0,3.9545999999999992,8.054200000000002,11.0354,9.7146,AVELOD_clean_primitive
