f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
285.8269999999999,532.512,2108.164800000002,1486.0799999999997,32600.0,42624.0,145536.0,87552.0,32.0,96.0,216.0,240.0,360.0,1248.0,2256.0,2544.0,27.715400000000002,92.33039999999998,171.24719999999996,211.6416000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
285.8269999999999,532.512,2108.164800000002,1486.0799999999997,32600.0,42624.0,145536.0,87552.0,32.0,96.0,216.0,240.0,360.0,1248.0,2256.0,2544.0,27.715400000000002,92.33039999999998,171.24719999999996,211.6416000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
285.8269999999999,532.512,2108.1648000000014,1486.08,32600.0,42624.0,145536.0,87552.0,32.0,96.0,216.0,240.0,360.0,1248.0,2256.0,2544.0,27.715400000000002,92.3304,171.24719999999996,211.6416000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
285.8269999999999,532.512,2108.1648000000014,1486.08,32600.0,42624.0,145536.0,87552.0,32.0,96.0,216.0,240.0,360.0,1248.0,2256.0,2544.0,27.715400000000002,92.3304,171.24719999999996,211.6416000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
113.7976,205.34400000000005,426.3528,629.952,6991.0,10220.0,10750.0,5280.0,15.0,28.0,54.0,80.0,82.0,216.0,262.0,176.0,10.830300000000001,22.885200000000005,42.2118,52.11360000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
113.7976,205.34400000000002,426.35280000000006,629.952,6991.0,10220.0,10750.0,5280.0,15.0,28.0,54.0,80.0,82.0,216.0,262.0,176.0,10.830300000000001,22.885200000000008,42.2118,52.11360000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
113.7976,205.34400000000005,426.3528,629.952,6991.0,10220.0,10750.0,5280.0,15.0,28.0,54.0,80.0,82.0,216.0,262.0,176.0,10.830300000000001,22.885200000000005,42.2118,52.11360000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
113.7976,205.34400000000005,426.3528,629.952,6991.0,10220.0,10750.0,5280.0,15.0,28.0,54.0,80.0,82.0,216.0,262.0,176.0,10.830300000000001,22.885200000000005,42.2118,52.113600000000005,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
113.7976,205.34400000000005,426.3528,629.9519999999999,6991.0,10220.0,10750.0,5280.0,15.0,28.0,54.0,80.0,82.0,216.0,262.0,176.0,10.830300000000001,22.885200000000005,42.21180000000001,52.11360000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
113.7976,205.34400000000005,426.3528,629.9519999999999,6991.0,10220.0,10750.0,5280.0,15.0,28.0,54.0,80.0,82.0,216.0,262.0,176.0,10.830300000000001,22.885200000000005,42.21180000000001,52.11360000000001,2.3200000000000003,29.59679999999999,19.68799999999999,61.699200000000005,5333.0,3719.6,18019.2,7329.6,1.0,6.0,6.4,13.6,36.0,93.6,172.8,206.4,2.1753799999999996,6.6205199999999955,10.735840000000005,14.891759999999994,0.0,-11.327999999999992,-2.5599999999999996,-23.384000000000004,0.0,387.2,219.2,890.4,0.0,0.0,0.0,0.0,0.0,20.4,9.6,47.2,0.0,4.344,2.128,9.999999999999995,AVILEY_clean_primitive
