f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
146.8776,281.168,418.6963999999999,508.243,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.821200000000001,19.6528,28.2124,33.3114,BAKYOE_clean_primitive
146.8776,281.16799999999995,418.6964,508.243,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.821200000000001,19.6528,28.2124,33.3114,BAKYOE_clean_primitive
146.8776,281.168,418.6964,508.243,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.8212,19.6528,28.2124,33.3114,BAKYOE_clean_primitive
146.8776,281.168,418.6964,508.243,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.8212,19.6528,28.2124,33.3114,BAKYOE_clean_primitive
146.8776,281.168,418.6963999999999,508.24300000000005,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.8212,19.652800000000003,28.212400000000002,33.3114,BAKYOE_clean_primitive
146.8776,281.16799999999995,418.6963999999999,508.24300000000005,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.8212,19.652800000000003,28.212400000000002,33.3114,BAKYOE_clean_primitive
146.8776,281.16799999999995,418.6963999999999,508.243,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.8212,19.652800000000003,28.212400000000002,33.3114,BAKYOE_clean_primitive
146.8776,281.16799999999995,418.6963999999999,508.243,648.0,1208.0,1796.0,1972.0,20.0,40.0,60.0,74.0,100.0,240.0,332.0,378.0,8.8212,19.652800000000003,28.212400000000002,33.3114,BAKYOE_clean_primitive
44.742399999999996,62.745599999999996,71.0016,0.0,241.0,336.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.1612,3.285,3.1973999999999996,0.0,BAKYOE_clean_primitive
44.742399999999996,62.745599999999996,71.0016,0.0,241.0,336.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.1612,3.285,3.1973999999999996,0.0,BAKYOE_clean_primitive
44.742399999999996,62.745599999999996,71.0016,0.0,241.0,336.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.1612,3.2849999999999997,3.1973999999999996,0.0,BAKYOE_clean_primitive
44.742399999999996,62.745599999999996,71.0016,0.0,241.0,336.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.1612,3.2849999999999997,3.1973999999999996,0.0,BAKYOE_clean_primitive
