f-sbu-chi-0,f-sbu-chi-1,f-sbu-chi-2,f-sbu-chi-3,f-sbu-Z-0,f-sbu-Z-1,f-sbu-Z-2,f-sbu-Z-3,f-sbu-I-0,f-sbu-I-1,f-sbu-I-2,f-sbu-I-3,f-sbu-T-0,f-sbu-T-1,f-sbu-T-2,f-sbu-T-3,f-sbu-S-0,f-sbu-S-1,f-sbu-S-2,f-sbu-S-3,mc-chi-0,mc-chi-1,mc-chi-2,mc-chi-3,mc-Z-0,mc-Z-1,mc-Z-2,mc-Z-3,mc-I-0,mc-I-1,mc-I-2,mc-I-3,mc-T-0,mc-T-1,mc-T-2,mc-T-3,mc-S-0,mc-S-1,mc-S-2,mc-S-3,D_mc-chi-0,D_mc-chi-1,D_mc-chi-2,D_mc-chi-3,D_mc-Z-0,D_mc-Z-1,D_mc-Z-2,D_mc-Z-3,D_mc-I-0,D_mc-I-1,D_mc-I-2,D_mc-I-3,D_mc-T-0,D_mc-T-1,D_mc-T-2,D_mc-T-3,D_mc-S-0,D_mc-S-1,D_mc-S-2,D_mc-S-3,name
144.47,234.78320000000002,611.9985999999999,554.8216000000001,2281.0,4052.0,6402.0,9044.0,17.0,36.0,62.0,76.0,98.0,248.0,346.0,336.0,14.684099999999997,30.676,47.758799999999994,60.8904,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
144.47,234.78320000000002,611.9986,554.8216,2281.0,4052.0,6402.0,9044.0,17.0,36.0,62.0,76.0,98.0,248.0,346.0,336.0,14.684099999999997,30.675999999999995,47.758799999999994,60.89040000000001,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
69.1109,104.57600000000002,170.21040000000002,180.80639999999997,1325.0,1792.0,2328.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.2136,13.548799999999998,17.0796,18.5712,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
69.1109,104.57600000000002,170.21040000000002,180.80639999999997,1325.0,1792.0,2328.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.2136,13.548799999999998,17.0796,18.5712,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
69.1109,104.57600000000001,170.21040000000002,180.80639999999997,1325.0,1792.0,2328.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.2136,13.548799999999998,17.0796,18.5712,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
69.1109,104.57600000000001,170.21040000000002,180.80639999999997,1325.0,1792.0,2328.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.2136,13.548799999999998,17.0796,18.5712,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
144.47,234.78320000000002,611.9985999999999,554.8216,2281.0,4052.0,6402.0,9044.0,17.0,36.0,62.0,76.0,98.0,248.0,346.0,336.0,14.684099999999997,30.676000000000002,47.7588,60.8904,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
144.47,234.78320000000002,611.9985999999998,554.8216,2281.0,4052.0,6402.0,9044.0,17.0,36.0,62.0,76.0,98.0,248.0,346.0,336.0,14.684099999999999,30.676000000000002,47.7588,60.8904,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
69.1109,104.57600000000002,170.2104,180.80639999999997,1325.0,1792.0,2328.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.2136,13.5488,17.0796,18.5712,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
69.1109,104.57600000000002,170.2104,180.80639999999997,1325.0,1792.0,2328.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.2136,13.5488,17.0796,18.5712,2.5921000000000016,25.3575,15.399650000000001,71.99920000000004,169.0,474.5,864.5,1352.0,1.0,4.5,4.5,13.0,20.5,41.0,84.5,118.0,1.5876000000000012,4.1265,6.136200000000001,11.957400000000005,0.0,-8.504999999999997,-2.319999999999999,-23.79,0.0,22.0,-8.0,65.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,33.0,0.0,2.395000000000001,0.8000000000000004,6.890000000000007,BICPOT
