f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
145.8954,310.6514000000001,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.0406,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.89540000000002,310.6514,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.0406,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.89539999999997,310.6514,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514,476.396,589.532,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.0406,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514000000001,476.3960000000001,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.8954,310.6514000000001,476.396,589.5319999999998,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514000000001,476.3960000000001,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.0406,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.8954,310.6514,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514000000001,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000002,35.62920000000001,BIZMII_clean_primitive
145.89540000000002,310.65140000000014,476.396,589.5319999999998,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.214999999999998,22.040600000000005,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.89540000000002,310.65140000000014,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.0406,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.89540000000002,310.65140000000014,476.3960000000001,589.5319999999998,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.214999999999998,22.0406,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.89540000000002,310.65140000000014,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.8954,310.65140000000014,476.3960000000001,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215000000000003,22.0406,32.404,35.6292,BIZMII_clean_primitive
145.8954,310.65140000000014,476.3960000000001,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215000000000003,22.040600000000005,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514000000001,476.39600000000013,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215000000000002,22.040600000000005,32.404,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514,476.3960000000001,589.532,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.404,35.62920000000001,BIZMII_clean_primitive
145.8954,310.6514,476.3960000000001,589.532,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215000000000002,22.040600000000005,32.404,35.6292,BIZMII_clean_primitive
145.89540000000002,310.6514000000001,476.396,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.8954,310.6514000000001,476.3960000000001,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.40400000000001,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514000000001,476.3960000000001,589.532,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.040600000000005,32.404,35.629200000000004,BIZMII_clean_primitive
145.8954,310.6514000000001,476.3960000000001,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215000000000002,22.040600000000005,32.404,35.629200000000004,BIZMII_clean_primitive
145.8954,310.65140000000014,476.3960000000001,589.532,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.0406,32.40400000000001,35.62920000000001,BIZMII_clean_primitive
145.8954,310.65140000000014,476.3960000000001,589.5319999999999,594.0,1304.0,1784.0,1736.0,22.0,46.0,72.0,92.0,118.0,294.0,408.0,412.0,9.215,22.0406,32.404,35.629200000000004,BIZMII_clean_primitive
