f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
284.548,647.3940000000003,1019.4192,1225.09,1126.0,2712.0,3834.0,3898.0,46.0,100.0,158.0,198.0,258.0,648.0,942.0,1032.0,19.369400000000013,48.47920000000002,72.18539999999997,80.98619999999997,BOZFIH_clean_primitive
284.548,647.3940000000003,1019.4192000000003,1225.0900000000001,1126.0,2712.0,3834.0,3898.0,46.0,100.0,158.0,198.0,258.0,648.0,942.0,1032.0,19.36940000000001,48.47920000000002,72.18539999999999,80.98619999999998,BOZFIH_clean_primitive
284.54800000000006,647.3940000000003,1019.4192000000002,1225.09,1126.0,2712.0,3834.0,3898.0,46.0,100.0,158.0,198.0,258.0,648.0,942.0,1032.0,19.369400000000013,48.47920000000002,72.18539999999999,80.98619999999994,BOZFIH_clean_primitive
284.548,647.3940000000005,1019.4192,1225.0899999999995,1126.0,2712.0,3834.0,3898.0,46.0,100.0,158.0,198.0,258.0,648.0,942.0,1032.0,19.369400000000006,48.47920000000001,72.18540000000002,80.9862,BOZFIH_clean_primitive
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.00020000000001,BOZFIH_clean_primitive
144.0441,255.969,399.64559999999994,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000006,27.591,31.000200000000007,BOZFIH_clean_primitive
144.0441,255.969,399.64559999999994,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.591,31.000200000000003,BOZFIH_clean_primitive
144.0441,255.96899999999994,399.64559999999994,462.21299999999985,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000003,27.591,31.000200000000007,BOZFIH_clean_primitive
144.0441,255.969,399.6455999999999,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.591,31.000200000000007,BOZFIH_clean_primitive
144.0441,255.96899999999994,399.6455999999999,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,BOZFIH_clean_primitive
144.04410000000001,255.969,399.64559999999994,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.590999999999998,31.000200000000003,BOZFIH_clean_primitive
144.0441,255.96899999999994,399.64559999999994,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.591,31.000200000000007,BOZFIH_clean_primitive
