BUPVEP_clean_primitive, Anchors list: {17, 21, 23}, SBU connectlist: {17, 21, 23}
BUPVEP_clean_primitive, Anchors list: {16, 20, 22}, SBU connectlist: {16, 20, 22}
BUPVEP_clean_primitive, Anchors list: {17, 23, 15}, SBU connectlist: {17, 23, 15}
BUPVEP_clean_primitive, Anchors list: {19, 23, 15}, SBU connectlist: {19, 23, 15}
BUPVEP_clean_primitive, Anchors list: {19, 21, 23}, SBU connectlist: {19, 21, 23}
BUPVEP_clean_primitive, Anchors list: {18, 20, 22}, SBU connectlist: {18, 20, 22}
BUPVEP_clean_primitive, Anchors list: {18, 14, 22}, SBU connectlist: {18, 14, 22}
BUPVEP_clean_primitive, Anchors list: {16, 14, 22}, SBU connectlist: {16, 14, 22}
BUPVEP_clean_primitive, Anchors list: {17, 13, 15}, SBU connectlist: {17, 13, 15}
BUPVEP_clean_primitive, Anchors list: {17, 21, 13}, SBU connectlist: {17, 21, 13}
BUPVEP_clean_primitive, Anchors list: {21, 19, 13}, SBU connectlist: {21, 19, 13}
BUPVEP_clean_primitive, Anchors list: {18, 12, 20}, SBU connectlist: {18, 12, 20}
BUPVEP_clean_primitive, Anchors list: {16, 12, 20}, SBU connectlist: {16, 12, 20}
BUPVEP_clean_primitive, Anchors list: {16, 12, 14}, SBU connectlist: {16, 12, 14}
BUPVEP_clean_primitive, Anchors list: {19, 13, 15}, SBU connectlist: {19, 13, 15}
BUPVEP_clean_primitive, Anchors list: {18, 12, 14}, SBU connectlist: {18, 12, 14}
BUPVEP_clean_primitive, Anchors list: {9, 11, 5}, SBU connectlist: {9, 11, 5}
BUPVEP_clean_primitive, Anchors list: {8, 10, 4}, SBU connectlist: {8, 10, 4}
BUPVEP_clean_primitive, Anchors list: {11, 3, 7}, SBU connectlist: {11, 3, 7}
BUPVEP_clean_primitive, Anchors list: {9, 11, 7}, SBU connectlist: {9, 11, 7}
BUPVEP_clean_primitive, Anchors list: {11, 3, 5}, SBU connectlist: {11, 3, 5}
BUPVEP_clean_primitive, Anchors list: {2, 10, 4}, SBU connectlist: {2, 10, 4}
BUPVEP_clean_primitive, Anchors list: {8, 10, 6}, SBU connectlist: {8, 10, 6}
BUPVEP_clean_primitive, Anchors list: {2, 10, 6}, SBU connectlist: {2, 10, 6}
BUPVEP_clean_primitive, Anchors list: {1, 9, 7}, SBU connectlist: {1, 9, 7}
BUPVEP_clean_primitive, Anchors list: {1, 3, 5}, SBU connectlist: {1, 3, 5}
BUPVEP_clean_primitive, Anchors list: {1, 5, 9}, SBU connectlist: {1, 5, 9}
BUPVEP_clean_primitive, Anchors list: {0, 8, 4}, SBU connectlist: {0, 8, 4}
BUPVEP_clean_primitive, Anchors list: {0, 2, 4}, SBU connectlist: {0, 2, 4}
BUPVEP_clean_primitive, Anchors list: {0, 8, 6}, SBU connectlist: {0, 8, 6}
BUPVEP_clean_primitive, Anchors list: {1, 3, 7}, SBU connectlist: {1, 3, 7}
BUPVEP_clean_primitive, Anchors list: {0, 2, 6}, SBU connectlist: {0, 2, 6}
