f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
180.11939999999996,357.3059999999999,669.4754,976.7719999999999,630.0,1272.0,2126.0,2696.0,28.0,56.0,108.0,158.0,164.0,440.0,720.0,890.0,9.9772,24.332000000000008,41.1948,58.57900000000002,COWXOC_clean_primitive
165.59939999999997,323.64599999999996,606.7753999999999,875.7919999999999,627.0,1236.0,2084.0,2588.0,25.0,50.0,96.0,140.0,146.0,392.0,618.0,686.0,9.566500000000001,22.622600000000002,38.664,53.45080000000001,COWXOC_clean_primitive
180.11939999999996,357.306,669.4753999999998,976.7719999999999,630.0,1272.0,2126.0,2696.0,28.0,56.0,108.0,158.0,164.0,440.0,720.0,890.0,9.977200000000002,24.332000000000004,41.1948,58.57900000000001,COWXOC_clean_primitive
226.17300000000003,511.1360000000002,795.2972,929.3089999999997,906.0,2150.0,3014.0,3038.0,36.0,78.0,122.0,148.0,200.0,498.0,714.0,766.0,15.264400000000006,37.91540000000001,55.798600000000015,60.829200000000014,COWXOC_clean_primitive
165.59939999999997,323.64599999999996,606.7753999999999,875.7919999999999,627.0,1236.0,2084.0,2588.0,25.0,50.0,96.0,140.0,146.0,392.0,618.0,686.0,9.566500000000001,22.622600000000006,38.664,53.45080000000001,COWXOC_clean_primitive
226.17300000000003,511.13600000000014,795.2972,929.3089999999997,906.0,2150.0,3014.0,3038.0,36.0,78.0,122.0,148.0,200.0,498.0,714.0,766.0,15.264400000000006,37.91540000000001,55.79860000000002,60.829200000000014,COWXOC_clean_primitive
180.11939999999998,357.3059999999999,669.4754000000001,976.7719999999998,630.0,1272.0,2126.0,2696.0,28.0,56.0,108.0,158.0,164.0,440.0,720.0,890.0,9.9772,24.332000000000008,41.194799999999994,58.57900000000001,COWXOC_clean_primitive
226.173,511.13600000000014,795.2972,929.309,906.0,2150.0,3014.0,3038.0,36.0,78.0,122.0,148.0,200.0,498.0,714.0,766.0,15.264400000000004,37.91540000000001,55.798600000000015,60.82920000000002,COWXOC_clean_primitive
165.5994,323.646,606.7754,875.7919999999999,627.0,1236.0,2084.0,2588.0,25.0,50.0,96.0,140.0,146.0,392.0,618.0,686.0,9.5665,22.622600000000002,38.66400000000001,53.45080000000001,COWXOC_clean_primitive
180.1194,357.30600000000004,669.4753999999998,976.7720000000003,630.0,1272.0,2126.0,2696.0,28.0,56.0,108.0,158.0,164.0,440.0,720.0,890.0,9.977200000000005,24.33200000000001,41.19480000000001,58.57900000000002,COWXOC_clean_primitive
165.5994,323.646,606.7754,875.7919999999998,627.0,1236.0,2084.0,2588.0,25.0,50.0,96.0,140.0,146.0,392.0,618.0,686.0,9.5665,22.622600000000006,38.66400000000001,53.450800000000015,COWXOC_clean_primitive
226.17300000000003,511.1360000000003,795.2972000000004,929.3090000000002,906.0,2150.0,3014.0,3038.0,36.0,78.0,122.0,148.0,200.0,498.0,714.0,766.0,15.26440000000001,37.91540000000002,55.79860000000001,60.82920000000001,COWXOC_clean_primitive
