lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621000000000002,27.160999999999998,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.621875,1.1119249999999998,48.09250000000001,125.2325,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.605,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.5549999999999999,0.0,-3.45,-3.2303325000000003,1.864335,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621,27.161,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.6218750000000002,1.1119249999999998,48.0925,125.2325,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.6049999999999998,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.5549999999999999,0.0,-3.45,-3.2303325000000003,1.8643350000000003,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621000000000002,27.160999999999998,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.621875,1.1119249999999998,48.09250000000001,125.23249999999999,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.605,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.5549999999999999,0.0,-3.45,-3.2303325000000003,1.864335,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621,27.161,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.6218750000000002,1.1119249999999998,48.0925,125.23250000000002,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.6049999999999998,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.555,0.0,-3.45,-3.2303325000000007,1.8643350000000003,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621,27.160999999999998,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.6218749999999997,1.1119249999999998,48.0925,125.2325,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.6049999999999998,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.5549999999999999,0.0,-3.45,-3.2303325000000003,1.864335,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621,27.161,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.6218750000000002,1.1119249999999998,48.0925,125.23250000000002,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.6049999999999998,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.555,0.0,-3.45,-3.2303325000000003,1.8643350000000003,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621000000000002,27.160999999999998,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.621875,1.1119249999999998,48.09250000000001,125.23249999999999,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.605,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.5549999999999999,0.0,-3.45,-3.2303325000000003,1.864335,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621,27.161,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.6218750000000002,1.1119249999999998,48.0925,125.23250000000002,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.6049999999999998,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.555,0.0,-3.45,-3.2303325000000007,1.8643350000000003,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621000000000002,27.160999999999998,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.621875,1.1119249999999998,48.09250000000001,125.2325,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.605,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.5549999999999999,0.0,-3.45,-3.2303325000000003,1.864335,DITYOW_clean_primitive
10.5376,12.8828,22.888399999999997,16.672800000000002,56.5,69.5,108.5,57.0,1.0,1.5,2.5,2.0,2.5,6.5,8.5,6.5,0.5477,0.8510500000000001,1.2487499999999998,0.8326,41.425000000000004,99.13499999999999,115.42630700000001,85.307683,0.0,0.6900000000000002,0.865,1.6849999999999998,0.0,1.5,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.16999999999999998,0.33999999999999997,0.0,-4.950000000000001,-1.5535550000000002,-2.2071100000000006,9.8896,17.621,27.161,22.191200000000002,52.75,94.25,124.25,74.0,1.0,2.0,3.25,2.75,4.5,12.0,16.25,8.25,0.5550999999999999,1.1324,1.6218750000000002,1.1119249999999998,48.0925,125.23250000000002,185.3894605,116.5214555,0.0,0.46750000000000014,1.3425000000000002,1.6049999999999998,0.0,1.0,6.0,9.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.75,0.0,-0.020000000000000018,0.255,0.555,0.0,-3.45,-3.2303325000000003,1.8643350000000003,DITYOW_clean_primitive
