f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
73.53320000000001,150.34800000000004,268.778,284.1872,248.0,528.0,656.0,440.0,12.0,24.0,44.0,48.0,72.0,192.0,200.0,96.0,4.317999999999999,10.472000000000003,15.486799999999999,12.648000000000001,DOTYES_clean_primitive
73.53320000000001,150.34800000000004,268.778,284.1872,248.0,528.0,656.0,440.0,12.0,24.0,44.0,48.0,72.0,192.0,200.0,96.0,4.317999999999999,10.472000000000003,15.486799999999999,12.648000000000001,DOTYES_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.1436,5.845,3.2412,DOTYES_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.1436,5.845,3.2412,DOTYES_clean_primitive
67.03070000000001,124.338,216.905,218.74320000000006,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7250999999999985,8.100400000000002,11.3996,9.828,DOTYES_clean_primitive
67.03070000000001,124.33799999999998,216.905,218.74320000000003,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7250999999999985,8.100400000000002,11.3996,9.828,DOTYES_clean_primitive
51.19220000000001,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,DOTYES_clean_primitive
51.19220000000001,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,DOTYES_clean_primitive
50.8482,88.89299999999999,148.752,110.70720000000003,174.0,288.0,276.0,162.0,8.0,14.0,24.0,18.0,38.0,80.0,60.0,18.0,2.8583999999999996,5.7749999999999995,7.3568,4.4402,DOTYES_clean_primitive
50.8482,88.89299999999999,148.752,110.70720000000003,174.0,288.0,276.0,162.0,8.0,14.0,24.0,18.0,38.0,80.0,60.0,18.0,2.8583999999999996,5.7749999999999995,7.3568,4.4402,DOTYES_clean_primitive
67.0307,124.33799999999998,216.90500000000003,218.74320000000003,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7250999999999994,8.100399999999999,11.3996,9.828,DOTYES_clean_primitive
67.0307,124.33800000000001,216.905,218.74320000000006,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7250999999999994,8.1004,11.3996,9.828,DOTYES_clean_primitive
67.0307,124.33800000000001,216.905,218.74320000000006,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7250999999999994,8.1004,11.3996,9.828,DOTYES_clean_primitive
67.0307,124.33800000000001,216.90499999999997,218.74320000000003,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7251000000000003,8.1004,11.3996,9.828,DOTYES_clean_primitive
52.13049999999999,60.2688,142.0032,0.0,481.0,960.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,DOTYES_clean_primitive
52.13049999999999,60.2688,142.0032,0.0,481.0,960.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,DOTYES_clean_primitive
52.1305,60.2688,142.0032,0.0,481.0,960.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,DOTYES_clean_primitive
52.1305,60.2688,142.0032,0.0,481.0,960.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.2552,6.1904,6.394799999999999,0.0,DOTYES_clean_primitive
52.1305,60.2688,142.0032,0.0,481.0,960.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,DOTYES_clean_primitive
67.03070000000001,124.33799999999998,216.90499999999997,218.74320000000006,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7250999999999994,8.1004,11.399599999999998,9.828,DOTYES_clean_primitive
67.0307,124.33800000000001,216.905,218.74320000000006,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7251000000000003,8.100399999999999,11.3996,9.828,DOTYES_clean_primitive
67.03070000000001,124.33799999999998,216.90499999999997,218.74320000000003,212.0,384.0,458.0,336.0,11.0,20.0,36.0,36.0,56.0,128.0,126.0,72.0,3.7251000000000003,8.1004,11.3996,9.828000000000001,DOTYES_clean_primitive
