lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,11.512533333333332,21.489066666666663,26.49066666666666,59.0,62.333333333333336,116.66666666666667,124.66666666666667,1.0,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.0,5.333333333333333,8.666666666666666,13.333333333333334,0.5427666666666666,0.7547333333333334,1.3074999999999999,1.7044666666666668,36.980000000000004,86.05333333333333,142.27333333333334,213.58174266666666,0.0,0.7566666666666668,1.0833333333333337,2.400000000000001,0.0,1.6666666666666667,2.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.3333333333333335,-3.3333333333333335,0.0,-0.03333333333333336,-0.04666666666666671,0.17333333333333326,0.0,-5.3,-7.900000000000001,-11.27140666666667,ECUTON_clean_primitive
9.2416,15.504,31.8592,7.752,49.0,84.0,112.0,42.0,1.0,2.0,4.0,1.0,4.0,12.0,14.0,8.0,0.5625,1.155,1.6799999999999997,0.5775,54.760000000000005,167.24,176.22522800000002,83.62,0.0,0.9800000000000004,1.6799999999999997,0.4900000000000002,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-0.040000000000000036,0.76,-0.020000000000000018,0.0,-7.800000000000001,5.785780000000001,-3.9000000000000004,9.2416,20.8696,38.1216,27.816000000000003,49.0,112.0,147.0,63.0,1.0,2.5,5.0,4.0,6.5,19.5,28.0,17.5,0.5625,1.4287500000000002,2.2725,1.4099999999999997,54.760000000000005,180.19,288.70522800000003,183.677842,0.0,0.7350000000000003,2.66,3.01,0.0,1.5,14.0,19.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,-0.030000000000000027,0.72,1.12,0.0,-5.8500000000000005,-2.01422,4.778670000000001,ECUTON_clean_primitive
9.2416,16.9936,23.681600000000003,14.440000000000001,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4175,0.855,54.760000000000005,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36,0.36,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,20.1248,38.3344,17.784,49.0,108.5,133.0,52.5,1.0,2.5,5.0,2.5,6.5,20.0,25.0,14.0,0.5625,1.43625,2.1149999999999998,0.9937499999999999,54.760000000000005,194.62,249.14153500000003,133.648921,0.0,0.9800000000000004,2.59,1.75,0.0,2.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,1.0,0.0,-0.040000000000000036,0.9299999999999999,0.55,0.0,-7.800000000000001,3.3322250000000007,0.43933500000000025,ECUTON_clean_primitive
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,11.512533333333332,21.489066666666663,26.49066666666666,59.0,62.333333333333336,116.66666666666667,124.66666666666667,1.0,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.0,5.333333333333333,8.666666666666666,13.333333333333334,0.5427666666666666,0.7547333333333334,1.3074999999999999,1.7044666666666668,36.980000000000004,86.05333333333333,142.27333333333334,213.58174266666666,0.0,0.7566666666666668,1.0833333333333337,2.400000000000001,0.0,1.6666666666666667,2.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.3333333333333335,-3.3333333333333335,0.0,-0.03333333333333336,-0.04666666666666671,0.17333333333333326,0.0,-5.3,-7.900000000000001,-11.27140666666667,ECUTON_clean_primitive
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,11.512533333333332,21.489066666666663,26.49066666666666,59.0,62.333333333333336,116.66666666666667,124.66666666666667,1.0,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.0,5.333333333333333,8.666666666666666,13.333333333333334,0.5427666666666666,0.7547333333333334,1.3074999999999999,1.7044666666666668,36.980000000000004,86.05333333333333,142.27333333333334,213.58174266666666,0.0,0.7566666666666668,1.0833333333333337,2.400000000000001,0.0,1.6666666666666667,2.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.3333333333333335,-3.3333333333333335,0.0,-0.03333333333333336,-0.04666666666666671,0.17333333333333326,0.0,-5.3,-7.900000000000001,-11.27140666666667,ECUTON_clean_primitive
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,11.512533333333332,21.489066666666663,26.49066666666666,59.0,62.333333333333336,116.66666666666667,124.66666666666667,1.0,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.0,5.333333333333333,8.666666666666666,13.333333333333334,0.5427666666666666,0.7547333333333334,1.3074999999999999,1.7044666666666668,36.980000000000004,86.05333333333333,142.27333333333334,213.58174266666666,0.0,0.7566666666666668,1.0833333333333337,2.400000000000001,0.0,1.6666666666666667,2.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.3333333333333335,-3.3333333333333335,0.0,-0.03333333333333336,-0.04666666666666671,0.17333333333333326,0.0,-5.3,-7.900000000000001,-11.27140666666667,ECUTON_clean_primitive
9.2416,16.9936,23.681600000000003,14.440000000000001,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4175,0.855,54.760000000000005,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36,0.36,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,20.1248,38.3344,17.784,49.0,108.5,133.0,52.5,1.0,2.5,5.0,2.5,6.5,20.0,25.0,14.0,0.5625,1.4362500000000002,2.1149999999999998,0.9937499999999999,54.760000000000005,194.62,249.14153500000003,133.648921,0.0,0.9800000000000004,2.59,1.75,0.0,2.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,1.0,0.0,-0.040000000000000036,0.9299999999999999,0.55,0.0,-7.800000000000001,3.332225,0.43933500000000025,ECUTON_clean_primitive
9.2416,15.504,31.8592,7.752,49.0,84.0,112.0,42.0,1.0,2.0,4.0,1.0,4.0,12.0,14.0,8.0,0.5625,1.155,1.6799999999999997,0.5775,54.760000000000005,167.24,176.22522800000002,83.62,0.0,0.9800000000000004,1.6799999999999997,0.4900000000000002,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-0.040000000000000036,0.76,-0.020000000000000018,0.0,-7.800000000000001,5.785780000000001,-3.9000000000000004,9.2416,20.8696,38.1216,27.816000000000003,49.0,112.0,147.0,63.0,1.0,2.5,5.0,4.0,6.5,19.5,28.0,17.5,0.5625,1.42875,2.2725,1.4099999999999997,54.760000000000005,180.19,288.70522800000003,183.677842,0.0,0.7350000000000003,2.66,3.01,0.0,1.5,14.0,19.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,-0.030000000000000027,0.72,1.12,0.0,-5.85,-2.01422,4.778670000000001,ECUTON_clean_primitive
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,11.512533333333332,21.489066666666663,26.49066666666666,59.0,62.333333333333336,116.66666666666667,124.66666666666667,1.0,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.0,5.333333333333333,8.666666666666666,13.333333333333334,0.5427666666666666,0.7547333333333334,1.3074999999999999,1.7044666666666668,36.980000000000004,86.05333333333333,142.27333333333334,213.58174266666666,0.0,0.7566666666666668,1.0833333333333337,2.400000000000001,0.0,1.6666666666666667,2.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.3333333333333335,-3.3333333333333335,0.0,-0.03333333333333336,-0.04666666666666671,0.17333333333333326,0.0,-5.3,-7.900000000000001,-11.27140666666667,ECUTON_clean_primitive
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,11.512533333333332,21.489066666666663,26.49066666666666,59.0,62.333333333333336,116.66666666666667,124.66666666666667,1.0,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.0,5.333333333333333,8.666666666666666,13.333333333333334,0.5427666666666666,0.7547333333333334,1.3074999999999999,1.7044666666666668,36.980000000000004,86.05333333333333,142.27333333333334,213.58174266666666,0.0,0.7566666666666668,1.0833333333333337,2.400000000000001,0.0,1.6666666666666667,2.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.3333333333333335,-3.3333333333333335,0.0,-0.03333333333333336,-0.04666666666666671,0.17333333333333326,0.0,-5.3,-7.900000000000001,-11.27140666666667,ECUTON_clean_primitive
