f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
78.38389999999998,130.72,184.3392,279.072,1037.0,1904.0,2532.0,1512.0,11.0,20.0,28.0,36.0,48.0,112.0,126.0,88.0,7.7395000000000005,15.270000000000003,21.9652,20.79,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
94.128,155.648,266.17699999999996,434.11199999999997,1122.0,2338.0,3224.0,2352.0,13.0,24.0,38.0,56.0,62.0,156.0,188.0,132.0,8.8949,18.510000000000005,28.6058,32.34,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
94.128,155.648,266.17699999999996,434.11199999999997,1122.0,2338.0,3224.0,2352.0,13.0,24.0,38.0,56.0,62.0,156.0,188.0,132.0,8.8949,18.510000000000005,28.6058,32.339999999999996,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
78.3839,130.72,184.3392,279.072,1037.0,1904.0,2532.0,1512.0,11.0,20.0,28.0,36.0,48.0,112.0,126.0,88.0,7.7395000000000005,15.27,21.965199999999996,20.790000000000003,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
94.12799999999999,155.64800000000002,266.177,434.11199999999997,1122.0,2338.0,3224.0,2352.0,13.0,24.0,38.0,56.0,62.0,156.0,188.0,132.0,8.8949,18.510000000000005,28.605799999999995,32.339999999999996,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
94.128,155.648,266.1769999999999,434.11199999999997,1122.0,2338.0,3224.0,2352.0,13.0,24.0,38.0,56.0,62.0,156.0,188.0,132.0,8.8949,18.510000000000005,28.6058,32.339999999999996,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
97.22019999999999,143.82,255.63179999999997,465.11999999999995,1086.0,2232.0,3096.0,2520.0,13.0,24.0,42.0,60.0,66.0,168.0,192.0,120.0,8.545300000000001,18.664800000000003,29.21700000000001,34.65,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
97.2202,143.82,255.6318,465.11999999999995,1086.0,2232.0,3096.0,2520.0,13.0,24.0,42.0,60.0,66.0,168.0,192.0,120.0,8.545300000000001,18.664800000000003,29.217000000000006,34.65,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
97.2202,143.82,255.63179999999997,465.11999999999995,1086.0,2232.0,3096.0,2520.0,13.0,24.0,42.0,60.0,66.0,168.0,192.0,120.0,8.5453,18.6648,29.217000000000006,34.65,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
97.2202,143.82,255.63179999999997,465.11999999999995,1086.0,2232.0,3096.0,2520.0,13.0,24.0,42.0,60.0,66.0,168.0,192.0,120.0,8.545300000000001,18.6648,29.217000000000006,34.65,2.5437400000000006,23.3528,27.92136,25.903600000000004,605.4,835.6,1003.2,2340.0,1.0,5.2,6.4,8.0,27.6,60.8,72.8,136.0,1.80442,5.2659600000000015,6.5672000000000015,9.452,0.0,-6.307999999999999,-7.312,-3.960000000000001,0.0,93.6,116.8,103.2,0.0,0.0,0.0,0.0,0.0,16.0,18.8,12.8,0.0,2.9919999999999995,3.7279999999999993,3.9360000000000013,EHUCOA_clean_primitive
