f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
116.61349999999999,212.87399999999997,324.5334,355.9434,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.2551,15.631,21.798,22.561400000000006,ENOVAG_clean_primitive
116.61349999999999,212.87399999999997,324.5334,355.9434,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.2551,15.631,21.798,22.561400000000006,ENOVAG_clean_primitive
121.45349999999999,226.24999999999994,346.97339999999997,399.28340000000003,561.0,1034.0,1494.0,1478.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.3919999999999995,16.186000000000003,22.937600000000003,24.544600000000003,ENOVAG_clean_primitive
116.6135,212.87400000000002,324.5334,355.9434,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.2551,15.631000000000004,21.798000000000002,22.5614,ENOVAG_clean_primitive
116.6135,212.87399999999997,324.5333999999999,355.9434,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.2551,15.631000000000004,21.798,22.561400000000006,ENOVAG_clean_primitive
121.4535,226.25,346.9734,399.2834,561.0,1034.0,1494.0,1478.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.391999999999999,16.186000000000003,22.9376,24.544599999999996,ENOVAG_clean_primitive
116.6135,212.87399999999997,324.5334,355.94339999999994,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.255099999999999,15.630999999999998,21.798000000000002,22.561400000000006,ENOVAG_clean_primitive
116.6135,212.87399999999997,324.5334,355.94339999999994,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.255099999999999,15.631000000000004,21.798000000000002,22.561400000000006,ENOVAG_clean_primitive
121.4535,226.25,346.97339999999997,399.2834000000001,561.0,1034.0,1494.0,1478.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.3919999999999995,16.186,22.937600000000003,24.544600000000003,ENOVAG_clean_primitive
116.6135,212.87399999999997,324.5334,355.94340000000005,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.2551,15.631000000000004,21.798,22.561400000000006,ENOVAG_clean_primitive
