f-sbu-chi-0,f-sbu-chi-1,f-sbu-chi-2,f-sbu-chi-3,f-sbu-Z-0,f-sbu-Z-1,f-sbu-Z-2,f-sbu-Z-3,f-sbu-I-0,f-sbu-I-1,f-sbu-I-2,f-sbu-I-3,f-sbu-T-0,f-sbu-T-1,f-sbu-T-2,f-sbu-T-3,f-sbu-S-0,f-sbu-S-1,f-sbu-S-2,f-sbu-S-3,mc-chi-0,mc-chi-1,mc-chi-2,mc-chi-3,mc-Z-0,mc-Z-1,mc-Z-2,mc-Z-3,mc-I-0,mc-I-1,mc-I-2,mc-I-3,mc-T-0,mc-T-1,mc-T-2,mc-T-3,mc-S-0,mc-S-1,mc-S-2,mc-S-3,D_mc-chi-0,D_mc-chi-1,D_mc-chi-2,D_mc-chi-3,D_mc-Z-0,D_mc-Z-1,D_mc-Z-2,D_mc-Z-3,D_mc-I-0,D_mc-I-1,D_mc-I-2,D_mc-I-3,D_mc-T-0,D_mc-T-1,D_mc-T-2,D_mc-T-3,D_mc-S-0,D_mc-S-1,D_mc-S-2,D_mc-S-3,name
128.5128,189.312,441.96399999999977,868.224,2361.0,4608.0,6608.0,4704.0,17.0,32.0,72.0,112.0,104.0,288.0,352.0,224.0,11.404100000000001,27.3504,50.842400000000005,64.68000000000004,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
128.5128,189.31199999999998,441.9639999999998,868.224,2361.0,4608.0,6608.0,4704.0,17.0,32.0,72.0,112.0,104.0,288.0,352.0,224.0,11.404100000000001,27.350399999999997,50.842400000000005,64.68000000000004,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
34.210699999999996,51.072,35.313199999999995,31.008,1070.0,1008.0,818.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.0269,6.24,5.159800000000001,2.31,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
34.210699999999996,51.072,35.313199999999995,31.008,1070.0,1008.0,818.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.0269,6.239999999999999,5.159800000000001,2.31,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
34.210699999999996,51.072,35.313199999999995,31.008,1070.0,1008.0,818.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.0269,6.239999999999999,5.159800000000001,2.31,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
34.210699999999996,51.072,35.313199999999995,31.008,1070.0,1008.0,818.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.0269,6.239999999999999,5.159800000000001,2.31,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
128.5128,189.312,441.96399999999977,868.224,2361.0,4608.0,6608.0,4704.0,17.0,32.0,72.0,112.0,104.0,288.0,352.0,224.0,11.4041,27.350399999999997,50.842400000000005,64.68000000000004,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
128.5128,189.31199999999998,441.96399999999977,868.224,2361.0,4608.0,6608.0,4704.0,17.0,32.0,72.0,112.0,104.0,288.0,352.0,224.0,11.4041,27.350399999999997,50.842400000000005,64.68000000000004,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
34.210699999999996,51.072,35.313199999999995,31.008,1070.0,1008.0,818.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.0269,6.239999999999999,5.159800000000001,2.31,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
34.210699999999996,51.072,35.313199999999995,31.008,1070.0,1008.0,818.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.0269,6.239999999999999,5.159800000000001,2.31,2.6683333333333334,17.568,18.580666666666662,7.04,1160.3333333333333,936.0,1005.3333333333334,3280.0,1.0,4.0,4.0,2.6666666666666665,24.0,48.0,37.333333333333336,42.666666666666664,1.864366666666667,4.328400000000001,4.284933333333335,5.135199999999998,0.0,-4.386666666666666,-5.039999999999998,0.0,0.0,124.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.333333333333332,0.0,0.0,2.613333333333334,2.6399999999999992,0.0,EPONEE
