f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
177.08939999999998,355.0110000000001,557.1304,682.4420000000001,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527399999999998,26.84220000000001,39.461200000000005,45.10840000000001,ERULEK_clean_primitive
177.08939999999998,355.0110000000001,557.1304,682.4420000000001,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527399999999998,26.84220000000001,39.461200000000005,45.10840000000001,ERULEK_clean_primitive
306.2087000000001,742.3262000000004,1235.3038000000001,1369.391,1190.0,3122.0,4552.0,4100.0,49.0,112.0,188.0,220.0,316.0,872.0,1268.0,1178.0,20.175300000000014,54.11640000000003,83.74599999999997,86.402,ERULEK_clean_primitive
306.2087,742.3262000000004,1235.3038000000004,1369.391,1190.0,3122.0,4552.0,4100.0,49.0,112.0,188.0,220.0,316.0,872.0,1268.0,1178.0,20.175300000000014,54.11640000000003,83.74599999999997,86.402,ERULEK_clean_primitive
177.08939999999998,355.0110000000001,557.1304,682.4420000000001,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.461200000000005,45.10840000000001,ERULEK_clean_primitive
177.08939999999996,355.0110000000001,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.461200000000005,45.10840000000001,ERULEK_clean_primitive
306.2086999999999,742.3262000000003,1235.3038,1369.3910000000003,1190.0,3122.0,4552.0,4100.0,49.0,112.0,188.0,220.0,316.0,872.0,1268.0,1178.0,20.17530000000001,54.11640000000003,83.74600000000002,86.40199999999999,ERULEK_clean_primitive
306.2086999999999,742.3262000000003,1235.3038000000001,1369.3910000000003,1190.0,3122.0,4552.0,4100.0,49.0,112.0,188.0,220.0,316.0,872.0,1268.0,1178.0,20.175300000000014,54.11640000000003,83.74600000000002,86.40199999999999,ERULEK_clean_primitive
177.0894,355.0110000000001,557.1304000000001,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.842200000000005,39.46120000000001,45.1084,ERULEK_clean_primitive
177.0894,355.0110000000001,557.1304000000001,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.842200000000005,39.46120000000001,45.1084,ERULEK_clean_primitive
177.0894,355.0110000000001,557.1304000000001,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.842200000000005,39.46120000000001,45.108399999999996,ERULEK_clean_primitive
177.08939999999998,355.01100000000014,557.1304000000001,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.842200000000005,39.46120000000002,45.108399999999996,ERULEK_clean_primitive
