FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCOD_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCOD_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCOD_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCOD_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
