FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
FEZCUJ_charged_primitive, Anchors list: {3}, SBU connectlist: {3}
FEZCUJ_charged_primitive, Anchors list: {2}, SBU connectlist: {2}
FEZCUJ_charged_primitive, Anchors list: {0}, SBU connectlist: {0}
FEZCUJ_charged_primitive, Anchors list: {1}, SBU connectlist: {1}
