f-sbu-chi-0,f-sbu-chi-1,f-sbu-chi-2,f-sbu-chi-3,f-sbu-Z-0,f-sbu-Z-1,f-sbu-Z-2,f-sbu-Z-3,f-sbu-I-0,f-sbu-I-1,f-sbu-I-2,f-sbu-I-3,f-sbu-T-0,f-sbu-T-1,f-sbu-T-2,f-sbu-T-3,f-sbu-S-0,f-sbu-S-1,f-sbu-S-2,f-sbu-S-3,mc-chi-0,mc-chi-1,mc-chi-2,mc-chi-3,mc-Z-0,mc-Z-1,mc-Z-2,mc-Z-3,mc-I-0,mc-I-1,mc-I-2,mc-I-3,mc-T-0,mc-T-1,mc-T-2,mc-T-3,mc-S-0,mc-S-1,mc-S-2,mc-S-3,D_mc-chi-0,D_mc-chi-1,D_mc-chi-2,D_mc-chi-3,D_mc-Z-0,D_mc-Z-1,D_mc-Z-2,D_mc-Z-3,D_mc-I-0,D_mc-I-1,D_mc-I-2,D_mc-I-3,D_mc-T-0,D_mc-T-1,D_mc-T-2,D_mc-T-3,D_mc-S-0,D_mc-S-1,D_mc-S-2,D_mc-S-3,name
213.734,431.45420000000024,883.4491999999998,1286.241,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.7002,35.659400000000005,60.111999999999995,73.10379999999999,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.73400000000004,431.4542000000001,883.4491999999999,1286.241,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000004,35.659400000000005,60.111999999999995,73.10379999999999,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.734,431.4542000000002,883.4492000000001,1286.241,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000002,35.659400000000005,60.111999999999995,73.1038,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.734,431.45420000000024,883.4492,1286.2409999999998,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000008,35.6594,60.11199999999997,73.10379999999998,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.73400000000004,431.4542000000002,883.4491999999999,1286.241,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000004,35.659400000000005,60.11199999999998,73.1038,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.734,431.45420000000024,883.4491999999999,1286.241,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000004,35.65940000000001,60.11199999999999,73.1038,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.734,431.4542000000002,883.4491999999996,1286.2409999999998,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000004,35.65940000000001,60.11199999999998,73.1038,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.73400000000004,431.4542000000002,883.4491999999998,1286.241,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000002,35.659400000000005,60.112,73.10379999999999,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.73400000000004,431.45420000000024,883.4491999999996,1286.2409999999998,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000006,35.65940000000001,60.11199999999998,73.10379999999999,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
213.73400000000004,431.4542000000002,883.4491999999998,1286.2409999999993,3191.0,5380.0,6412.0,4796.0,35.0,70.0,140.0,206.0,210.0,566.0,806.0,842.0,13.700200000000004,35.65940000000001,60.112,73.1038,3.8415999999999997,36.181599999999996,47.23599999999999,60.0348,2500.0,2150.0,2000.0,2550.0,1.0,6.0,10.0,12.0,36.0,96.0,144.0,144.0,1.96,6.271999999999999,8.539999999999997,10.024000000000001,0.0,-6.700000000000002,-4.5,-7.11,0.0,257.0,460.0,549.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,48.0,0.0,3.92,7.900000000000001,9.639999999999999,FIVZEQ
