f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
326.46330000000006,737.6717999999998,1519.2912,2353.601000000001,3582.0,8636.0,17290.0,16326.0,45.0,104.0,208.0,308.0,322.0,1000.0,1834.0,1852.0,23.495000000000008,64.20280000000002,124.77620000000003,157.93840000000003,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
410.26240000000007,946.8507999999998,1856.7183999999997,2746.5428000000006,3889.0,9468.0,18590.0,18108.0,59.0,136.0,260.0,372.0,406.0,1216.0,2178.0,2312.0,29.029200000000014,79.35760000000002,148.2894,185.4980000000001,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.9585,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.155,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.958499999999997,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.154999999999999,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.9585,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.154999999999999,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.9585,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.155,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.9585,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.154999999999999,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.9585,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.154999999999999,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.958499999999997,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.154999999999999,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
28.9585,53.686400000000006,58.251999999999995,0.0,816.0,490.0,458.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.0168,4.154999999999999,5.2186,0.0,3.5343999999999993,31.985066666666658,54.53253333333333,57.277333333333324,729.0,1062.0,2664.0,1908.0,1.0,5.333333333333333,11.333333333333334,10.666666666666666,28.666666666666668,100.0,157.33333333333334,162.66666666666666,1.5876000000000001,4.989599999999999,10.416,10.180800000000001,0.0,-6.986666666666668,-7.700000000000003,-10.413333333333334,0.0,104.66666666666667,207.33333333333334,217.33333333333334,0.0,0.0,0.0,0.0,0.0,10.0,31.333333333333332,26.0,0.0,2.7600000000000002,6.013333333333333,5.359999999999999,GETXAG01_clean_primitive
