f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
223.09759999999997,488.6310000000001,813.2683999999998,1005.3340000000001,941.0,2040.0,3032.0,3298.0,33.0,74.0,124.0,158.0,210.0,564.0,788.0,898.0,14.248900000000003,35.46620000000001,54.357200000000006,63.73020000000002,HACRAH
218.25759999999997,464.406,726.2583999999999,901.708,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112,33.710600000000014,48.86220000000001,57.97680000000001,HACRAH
218.25759999999997,464.406,726.2583999999999,901.708,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112,33.710600000000014,48.86220000000001,57.97680000000001,HACRAH
136.12099999999998,254.388,384.90340000000003,453.36699999999996,668.0,1248.0,1816.0,1876.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,9.033800000000001,19.157600000000002,27.772600000000004,31.155400000000007,HACRAH
218.2576,464.40600000000006,726.2584,901.7079999999999,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112,33.710600000000014,48.862200000000016,57.97680000000001,HACRAH
218.2576,464.40600000000006,726.2584,901.7079999999999,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112,33.710600000000014,48.862200000000016,57.97680000000001,HACRAH
218.25760000000002,464.40600000000006,726.2583999999998,901.7079999999999,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112,33.710600000000014,48.8622,57.97680000000001,HACRAH
218.2576,464.4060000000001,726.2583999999998,901.7079999999999,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.111999999999998,33.710600000000014,48.862200000000016,57.97680000000001,HACRAH
136.121,254.38799999999998,384.90340000000003,453.36699999999996,668.0,1248.0,1816.0,1876.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,9.0338,19.157600000000002,27.772600000000004,31.155400000000014,HACRAH
223.09760000000003,488.63100000000026,813.2683999999999,1005.334,941.0,2040.0,3032.0,3298.0,33.0,74.0,124.0,158.0,210.0,564.0,788.0,898.0,14.248900000000004,35.466200000000015,54.35720000000002,63.73020000000002,HACRAH
218.2576,464.4060000000001,726.2583999999999,901.7079999999999,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112000000000007,33.71060000000001,48.8622,57.97680000000002,HACRAH
218.2576,464.4060000000001,726.2583999999999,901.7079999999999,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112000000000007,33.71060000000001,48.8622,57.97680000000001,HACRAH
218.2576,464.4060000000001,726.2583999999999,901.7079999999997,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112000000000002,33.710600000000014,48.862200000000016,57.976800000000004,HACRAH
218.2576,464.4060000000001,726.2583999999999,901.7079999999997,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112000000000002,33.710600000000014,48.862200000000016,57.976800000000004,HACRAH
218.2576,464.4060000000002,726.2584000000004,901.7080000000001,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112000000000009,33.710600000000014,48.862199999999994,57.97680000000002,HACRAH
218.2576,464.4060000000002,726.2584000000002,901.7080000000001,940.0,1956.0,2764.0,3088.0,32.0,70.0,110.0,140.0,192.0,500.0,652.0,746.0,14.112000000000007,33.710600000000014,48.8622,57.97680000000001,HACRAH
136.12099999999998,254.38800000000003,384.90340000000003,453.367,668.0,1248.0,1816.0,1876.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,9.033800000000003,19.157600000000006,27.772599999999997,31.155400000000007,HACRAH
223.0976,488.6310000000001,813.2683999999999,1005.334,941.0,2040.0,3032.0,3298.0,33.0,74.0,124.0,158.0,210.0,564.0,788.0,898.0,14.248900000000006,35.466200000000015,54.357200000000006,63.730200000000025,HACRAH
