f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
131.1,270.4804,576.9164000000001,936.914,2124.0,4060.0,6758.0,5414.0,19.0,40.0,80.0,128.0,120.0,348.0,556.0,436.0,11.250700000000002,25.420600000000004,46.3124,61.1494,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
131.1,270.48040000000003,576.9164000000001,936.9139999999998,2124.0,4060.0,6758.0,5414.0,19.0,40.0,80.0,128.0,120.0,348.0,556.0,436.0,11.250700000000002,25.420600000000004,46.31239999999999,61.1494,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
69.7949,110.08000000000003,173.71439999999998,180.80639999999997,2117.0,2944.0,4488.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.163599999999999,13.432,16.909999999999997,18.5712,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
131.1,270.4803999999999,576.9164000000001,936.9139999999999,2124.0,4060.0,6758.0,5414.0,19.0,40.0,80.0,128.0,120.0,348.0,556.0,436.0,11.2507,25.4206,46.3124,61.14940000000001,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
69.2413,105.6768,170.91119999999995,180.80639999999997,2056.0,2880.0,4368.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.3421,13.8408,17.5036,18.5712,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
69.2413,105.6768,170.91119999999995,180.80639999999997,2056.0,2880.0,4368.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.3421,13.8408,17.5036,18.5712,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
131.1,270.48040000000003,576.9164000000001,936.9139999999998,2124.0,4060.0,6758.0,5414.0,19.0,40.0,80.0,128.0,120.0,348.0,556.0,436.0,11.250700000000002,25.420600000000004,46.3124,61.1494,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
69.79490000000001,110.08,173.71439999999998,180.80639999999997,2117.0,2944.0,4488.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.1636,13.432,16.91,18.5712,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
69.2413,105.6768,170.91119999999998,180.80639999999997,2056.0,2880.0,4368.0,2880.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.3421,13.8408,17.5036,18.5712,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
131.1,270.4804,576.9164000000001,936.914,2124.0,4060.0,6758.0,5414.0,19.0,40.0,80.0,128.0,120.0,348.0,556.0,436.0,11.250700000000002,25.4206,46.312400000000004,61.14940000000001,3.1376999999999993,29.4956,32.709250000000004,79.654,945.75,1185.5,2062.0,2704.0,1.0,5.0,8.0,14.5,26.0,70.0,131.0,119.0,1.582225,4.614300000000001,7.7311999999999985,11.4931,0.0,-7.709999999999998,-3.944999999999999,-19.154999999999994,0.0,115.5,180.0,358.5,0.0,0.0,0.0,0.0,0.0,13.0,19.5,51.5,0.0,2.59,3.814999999999999,9.045,HEGNOX_clean_primitive
