f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
333.9723,749.2550000000006,1225.7390000000003,1497.4350000000002,1146.0,2774.0,3938.0,4452.0,57.0,120.0,202.0,248.0,322.0,796.0,1142.0,1396.0,21.392100000000006,54.31640000000002,81.7334,98.78959999999998,HOJLID_clean_primitive
177.0894,355.011,557.1304000000001,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.84220000000001,39.461200000000005,45.1084,HOJLID_clean_primitive
177.0894,355.0110000000001,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.461200000000005,45.10840000000001,HOJLID_clean_primitive
333.9723,749.2550000000006,1225.7390000000003,1497.4350000000004,1146.0,2774.0,3938.0,4452.0,57.0,120.0,202.0,248.0,322.0,796.0,1142.0,1396.0,21.392100000000013,54.31640000000002,81.73340000000003,98.78960000000002,HOJLID_clean_primitive
177.08939999999998,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.842200000000002,39.46120000000001,45.10840000000001,HOJLID_clean_primitive
177.0894,355.0110000000001,557.1304000000001,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527399999999998,26.84220000000001,39.46120000000001,45.108399999999996,HOJLID_clean_primitive
177.0894,355.0110000000001,557.1304000000001,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000005,26.842200000000012,39.46120000000001,45.108399999999996,HOJLID_clean_primitive
333.9722999999997,749.2550000000005,1225.7389999999998,1497.4350000000004,1146.0,2774.0,3938.0,4452.0,57.0,120.0,202.0,248.0,322.0,796.0,1142.0,1396.0,21.392100000000013,54.31640000000002,81.7334,98.7896,HOJLID_clean_primitive
333.9722999999999,749.2550000000006,1225.7389999999998,1497.435,1146.0,2774.0,3938.0,4452.0,57.0,120.0,202.0,248.0,322.0,796.0,1142.0,1396.0,21.392100000000006,54.31640000000002,81.73340000000003,98.78960000000002,HOJLID_clean_primitive
177.08939999999998,355.0110000000001,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.46120000000001,45.1084,HOJLID_clean_primitive
177.08939999999998,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.842200000000005,39.461200000000005,45.10840000000002,HOJLID_clean_primitive
177.0894,355.01100000000014,557.1304000000002,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000007,26.84220000000001,39.461200000000005,45.10839999999999,HOJLID_clean_primitive
