f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
192.20629999999994,374.44199999999984,573.1507999999999,644.8439999999998,1052.0,2064.0,3152.0,3552.0,23.0,52.0,76.0,88.0,140.0,372.0,500.0,580.0,13.1567,30.338000000000005,44.0876,51.18960000000001,HOWSET
231.5118,450.585,781.9587999999999,1010.0504000000001,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.86899999999999,60.63460000000002,HOWSET
231.51179999999997,450.58500000000004,781.9587999999999,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000004,32.44780000000001,50.869,60.63460000000002,HOWSET
192.20629999999997,374.44199999999984,573.1507999999998,644.8439999999998,1052.0,2064.0,3152.0,3552.0,23.0,52.0,76.0,88.0,140.0,372.0,500.0,580.0,13.1567,30.338000000000005,44.087599999999995,51.18960000000002,HOWSET
231.5118,450.58500000000004,781.9588,1010.0504000000001,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.869,60.63460000000002,HOWSET
231.51179999999997,450.58500000000004,781.9588,1010.0504000000001,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.869,60.63460000000003,HOWSET
231.51179999999994,450.585,781.9587999999999,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.869,60.63460000000001,HOWSET
231.51179999999997,450.5850000000001,781.9587999999999,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.869,60.63460000000001,HOWSET
231.51179999999997,450.58500000000004,781.9588000000001,1010.0503999999999,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.4478,50.86900000000001,60.63460000000002,HOWSET
231.5118,450.58500000000015,781.9587999999999,1010.0504000000002,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.86900000000001,60.634600000000006,HOWSET
192.20629999999997,374.44199999999984,573.1507999999998,644.8439999999998,1052.0,2064.0,3152.0,3552.0,23.0,52.0,76.0,88.0,140.0,372.0,500.0,580.0,13.1567,30.338000000000005,44.0876,51.18960000000001,HOWSET
192.20629999999997,374.4419999999999,573.1507999999998,644.8439999999998,1052.0,2064.0,3152.0,3552.0,23.0,52.0,76.0,88.0,140.0,372.0,500.0,580.0,13.1567,30.338000000000005,44.08760000000001,51.189600000000006,HOWSET
231.51179999999997,450.58500000000004,781.9587999999999,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000004,32.44780000000001,50.868999999999986,60.63460000000002,HOWSET
231.5118,450.585,781.9588,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.869,60.63460000000002,HOWSET
231.51179999999997,450.58500000000004,781.9588,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.9624,32.44780000000001,50.86900000000001,60.634600000000006,HOWSET
231.5118,450.58500000000004,781.9587999999999,1010.0504000000002,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.86900000000001,60.63460000000001,HOWSET
231.51179999999997,450.58500000000004,781.9588000000001,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000004,32.44780000000001,50.86900000000001,60.63460000000002,HOWSET
231.5118,450.58500000000004,781.9587999999999,1010.0503999999999,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000004,32.44780000000001,50.869,60.63460000000002,HOWSET
231.5118,450.585,781.9588,1010.0504,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.962400000000002,32.44780000000001,50.869,60.634600000000006,HOWSET
231.5118,450.585,781.9588,1010.0504000000002,1011.0,1980.0,3064.0,3320.0,32.0,66.0,114.0,154.0,180.0,464.0,680.0,694.0,13.9624,32.44780000000001,50.86900000000001,60.6346,HOWSET
