f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
146.56389999999996,226.14559999999994,841.6176000000002,905.6940000000002,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.272899999999998,31.376400000000007,54.13499999999999,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.56389999999996,226.14559999999994,841.6176000000003,905.6940000000001,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.272899999999998,31.376400000000007,54.13499999999999,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.56390000000002,226.14559999999994,841.6176000000003,905.694,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.2729,31.376400000000004,54.13499999999999,57.57240000000001,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.5639,226.14559999999994,841.6176000000003,905.694,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.2729,31.376400000000007,54.134999999999984,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.5639,226.14559999999994,841.6176,905.6939999999998,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.272899999999998,31.376400000000007,54.13499999999999,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.5639,226.14559999999997,841.6176000000002,905.6939999999998,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.2729,31.376400000000004,54.13499999999999,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.5639,226.14559999999997,841.6176000000002,905.6939999999997,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.2729,31.3764,54.13499999999999,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.56389999999996,226.14559999999994,841.6176000000003,905.6940000000001,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.272899999999998,31.376400000000004,54.13499999999999,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.5639,226.14559999999997,841.6176000000002,905.6939999999998,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.272899999999998,31.376400000000004,54.13499999999999,57.5724,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
146.5639,226.14559999999994,841.6176000000002,905.694,5389.0,10300.0,9224.0,4560.0,17.0,36.0,86.0,108.0,136.0,424.0,454.0,240.0,11.2729,31.376400000000004,54.13499999999999,57.572399999999995,1.5376000000000003,37.286799999999985,21.699999999999992,41.96159999999999,4624.0,4760.0,2516.0,3672.0,1.0,9.0,7.0,12.0,81.0,180.0,171.0,162.0,2.722499999999999,10.906499999999996,8.233499999999996,10.889999999999995,0.0,-18.910000000000004,-8.819999999999997,-18.96,0.0,542.0,439.0,762.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,90.0,0.0,8.239999999999997,6.560000000000001,13.199999999999994,ISIYUF01_clean_primitive
