f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000002,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000002,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000005,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000005,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
35.0982,54.112,37.8632,31.008,1011.0,980.0,794.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.215199999999999,6.449999999999999,5.375399999999999,2.31,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
35.0982,54.112,37.8632,31.008,1011.0,980.0,794.0,168.0,5.0,8.0,6.0,4.0,14.0,24.0,16.0,8.0,4.215199999999999,6.449999999999999,5.375399999999999,2.31,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
127.8988,244.92799999999994,456.1952,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
127.8988,244.92799999999994,456.1952,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000002,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000002,34.054399999999994,43.099199999999996,3.61,24.059428571428576,17.995714285714282,41.78914285714284,841.0,853.4285714285714,646.2857142857143,1491.4285714285713,1.0,3.7142857142857144,3.7142857142857144,7.428571428571429,14.285714285714286,28.571428571428573,42.857142857142854,70.85714285714286,1.9044000000000005,3.7496571428571426,3.9468000000000005,7.704342857142859,0.0,-5.605714285714284,-2.414285714285714,-7.879999999999997,0.0,78.28571428571429,85.42857142857143,164.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.142857142857143,10.285714285714286,0.0,2.4085714285714284,2.2657142857142842,4.668571428571425,IWEVAJ_clean_primitive
