f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
122.52319999999997,560.184,976.3439999999998,538.6831999999998,674.0,3072.0,5376.0,2978.0,18.0,80.0,144.0,82.0,384.0,1792.0,2816.0,1408.0,10.611400000000001,46.939200000000014,84.88480000000001,48.55700000000001,IYATEI
122.52319999999997,560.184,976.3439999999998,538.6831999999999,674.0,3072.0,5376.0,2978.0,18.0,80.0,144.0,82.0,384.0,1792.0,2816.0,1408.0,10.611400000000001,46.939200000000014,84.88480000000003,48.55700000000001,IYATEI
190.09439999999998,394.026,635.1604,799.977,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.399600000000007,46.576000000000015,56.4206,IYATEI
190.09439999999998,394.026,635.1604,799.977,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.399600000000007,46.576000000000015,56.4206,IYATEI
190.09439999999998,394.026,635.1604,799.977,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.399600000000007,46.576000000000015,56.4206,IYATEI
190.09439999999998,394.026,635.1604,799.977,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.399600000000007,46.576000000000015,56.4206,IYATEI
122.52319999999999,560.184,976.3439999999998,538.6831999999999,674.0,3072.0,5376.0,2978.0,18.0,80.0,144.0,82.0,384.0,1792.0,2816.0,1408.0,10.611400000000001,46.9392,84.88480000000003,48.55700000000001,IYATEI
122.52319999999999,560.184,976.3439999999998,538.6831999999998,674.0,3072.0,5376.0,2978.0,18.0,80.0,144.0,82.0,384.0,1792.0,2816.0,1408.0,10.611400000000001,46.93920000000001,84.88480000000003,48.55700000000001,IYATEI
190.0944,394.026,635.1604,799.9769999999999,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.39960000000001,46.576000000000015,56.4206,IYATEI
190.0944,394.026,635.1604,799.9769999999999,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.39960000000001,46.576000000000015,56.4206,IYATEI
190.0944,394.026,635.1604,799.9769999999999,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.39960000000001,46.576000000000015,56.4206,IYATEI
190.0944,394.026,635.1604,799.9769999999999,840.0,1776.0,2704.0,3108.0,28.0,60.0,96.0,126.0,156.0,396.0,592.0,702.0,12.713200000000002,30.39960000000001,46.576000000000015,56.4206,IYATEI
