lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.9696,13.6688,42.754133333333336,35.00960000000001,59.0,127.33333333333333,173.33333333333334,110.33333333333333,1.0,1.6666666666666667,5.0,4.666666666666667,3.6666666666666665,14.666666666666666,22.0,17.0,0.5427666666666666,1.0739,2.2177666666666664,1.7323666666666664,36.980000000000004,152.16666666666663,227.705228,204.58880533333334,0.0,1.0633333333333335,2.7633333333333336,4.08,0.0,-4.333333333333333,14.333333333333334,19.666666666666668,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.6666666666666667,0.0,-0.21333333333333337,0.7133333333333333,1.123333333333333,0.0,-13.299999999999997,-2.11422,-1.157033333333333,9.245,21.039900000000003,25.1851,21.5516,160.0,304.0,152.0,104.0,1.0,2.5,3.0,3.0,8.5,16.0,15.0,13.0,0.7866499999999998,1.8819000000000001,1.58405,1.3110499999999998,202.225,315.24999999999994,255.08293400000002,213.050617,0.0,-0.8449999999999996,0.8400000000000001,1.8349999999999997,0.0,13.0,21.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.41500000000000004,0.755,1.125,0.0,18.15,15.942889999999998,18.685779999999994,IYIGEC_clean_primitive
9.2416,23.256,67.8528,23.256,49.0,126.0,189.0,126.0,1.0,3.0,9.0,3.0,9.0,36.0,45.0,36.0,0.5625,1.7325,3.352499999999999,1.7325,54.760000000000005,250.86,364.3956840000001,250.86,0.0,1.4700000000000006,5.039999999999999,1.4700000000000006,0.0,3.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,12.0,-3.0,0.0,-0.06000000000000005,2.28,-0.06000000000000005,0.0,-11.700000000000001,17.357340000000004,-11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IYIGEC_clean_primitive
10.9696,13.6688,42.754133333333336,35.00960000000001,59.0,127.33333333333333,173.33333333333334,110.33333333333333,1.0,1.6666666666666667,5.0,4.666666666666667,3.6666666666666665,14.666666666666666,22.0,17.0,0.5427666666666666,1.0739,2.2177666666666664,1.7323666666666664,36.980000000000004,152.16666666666663,227.705228,204.58880533333334,0.0,1.0633333333333335,2.7633333333333336,4.08,0.0,-4.333333333333333,14.333333333333334,19.666666666666668,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.6666666666666667,0.0,-0.21333333333333337,0.7133333333333333,1.123333333333333,0.0,-13.299999999999997,-2.11422,-1.157033333333333,9.245,21.039900000000003,25.1851,21.5516,160.0,304.0,152.0,104.0,1.0,2.5,3.0,3.0,8.5,16.0,15.0,13.0,0.7866499999999998,1.8819000000000001,1.58405,1.3110499999999998,202.225,315.24999999999994,255.08293399999997,213.050617,0.0,-0.8449999999999996,0.8400000000000001,1.8349999999999997,0.0,13.0,21.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.41500000000000004,0.755,1.125,0.0,18.15,15.942889999999998,18.685779999999994,IYIGEC_clean_primitive
10.9696,13.6688,42.754133333333336,35.00960000000001,59.0,127.33333333333333,173.33333333333334,110.33333333333333,1.0,1.6666666666666667,5.0,4.666666666666667,3.6666666666666665,14.666666666666666,22.0,17.0,0.5427666666666666,1.0739,2.2177666666666664,1.7323666666666664,36.980000000000004,152.16666666666663,227.705228,204.58880533333334,0.0,1.0633333333333335,2.7633333333333336,4.08,0.0,-4.333333333333333,14.333333333333334,19.666666666666668,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.6666666666666667,0.0,-0.21333333333333337,0.7133333333333333,1.123333333333333,0.0,-13.299999999999997,-2.11422,-1.157033333333333,9.245,21.039900000000003,25.1851,21.5516,160.0,304.0,152.0,104.0,1.0,2.5,3.0,3.0,8.5,16.0,15.0,13.0,0.7866499999999998,1.8819000000000001,1.58405,1.3110499999999998,202.225,315.25,255.08293400000002,213.050617,0.0,-0.8449999999999996,0.8400000000000001,1.8349999999999997,0.0,13.0,21.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.41500000000000004,0.755,1.125,0.0,18.15,15.942889999999998,18.685779999999994,IYIGEC_clean_primitive
9.2416,23.256,67.8528,23.256,49.0,126.0,189.0,126.0,1.0,3.0,9.0,3.0,9.0,36.0,45.0,36.0,0.5625,1.7325,3.352499999999999,1.7325,54.760000000000005,250.86,364.3956840000001,250.86,0.0,1.4700000000000006,5.039999999999999,1.4700000000000006,0.0,3.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,12.0,-3.0,0.0,-0.06000000000000005,2.28,-0.06000000000000005,0.0,-11.700000000000001,17.357340000000004,-11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IYIGEC_clean_primitive
10.9696,13.6688,42.754133333333336,35.00960000000001,59.0,127.33333333333333,173.33333333333334,110.33333333333333,1.0,1.6666666666666667,5.0,4.666666666666667,3.6666666666666665,14.666666666666666,22.0,17.0,0.5427666666666666,1.0739,2.2177666666666664,1.7323666666666664,36.980000000000004,152.16666666666663,227.705228,204.58880533333334,0.0,1.0633333333333335,2.7633333333333336,4.08,0.0,-4.333333333333333,14.333333333333334,19.666666666666668,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.6666666666666667,0.0,-0.21333333333333337,0.7133333333333333,1.123333333333333,0.0,-13.299999999999997,-2.11422,-1.157033333333333,9.245,21.039900000000003,25.1851,21.5516,160.0,304.0,152.0,104.0,1.0,2.5,3.0,3.0,8.5,16.0,15.0,13.0,0.7866499999999998,1.8819000000000001,1.58405,1.3110499999999998,202.225,315.24999999999994,255.08293400000002,213.050617,0.0,-0.8449999999999996,0.8400000000000001,1.8349999999999997,0.0,13.0,21.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.41500000000000004,0.755,1.125,0.0,18.15,15.942889999999998,18.685779999999994,IYIGEC_clean_primitive
10.9696,13.6688,42.754133333333336,35.00960000000001,59.0,127.33333333333333,173.33333333333334,110.33333333333333,1.0,1.6666666666666667,5.0,4.666666666666667,3.6666666666666665,14.666666666666666,22.0,17.0,0.5427666666666666,1.0739,2.2177666666666664,1.7323666666666664,36.980000000000004,152.16666666666663,227.705228,204.58880533333334,0.0,1.0633333333333335,2.7633333333333336,4.08,0.0,-4.333333333333333,14.333333333333334,19.666666666666668,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.6666666666666667,0.0,-0.21333333333333337,0.7133333333333333,1.123333333333333,0.0,-13.299999999999997,-2.11422,-1.157033333333333,9.245,21.039900000000003,25.1851,21.5516,160.0,304.0,152.0,104.0,1.0,2.5,3.0,3.0,8.5,16.0,15.0,13.0,0.7866499999999998,1.8819000000000001,1.58405,1.3110499999999998,202.225,315.24999999999994,255.08293400000002,213.050617,0.0,-0.8449999999999996,0.8400000000000001,1.8349999999999997,0.0,13.0,21.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.41500000000000004,0.755,1.125,0.0,18.15,15.942889999999998,18.685779999999994,IYIGEC_clean_primitive
9.2416,23.256,67.8528,23.256,49.0,126.0,189.0,126.0,1.0,3.0,9.0,3.0,9.0,36.0,45.0,36.0,0.5625,1.7325,3.352499999999999,1.7325,54.760000000000005,250.86,364.3956840000001,250.86,0.0,1.4700000000000006,5.039999999999999,1.4700000000000006,0.0,3.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,12.0,-3.0,0.0,-0.06000000000000005,2.28,-0.06000000000000005,0.0,-11.700000000000001,17.357340000000004,-11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IYIGEC_clean_primitive
10.9696,13.6688,42.754133333333336,35.00960000000001,59.0,127.33333333333333,173.33333333333334,110.33333333333333,1.0,1.6666666666666667,5.0,4.666666666666667,3.6666666666666665,14.666666666666666,22.0,17.0,0.5427666666666666,1.0739,2.2177666666666664,1.7323666666666664,36.980000000000004,152.16666666666663,227.705228,204.58880533333334,0.0,1.0633333333333335,2.7633333333333336,4.08,0.0,-4.333333333333333,14.333333333333334,19.666666666666668,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.6666666666666667,0.0,-0.21333333333333337,0.7133333333333333,1.123333333333333,0.0,-13.299999999999997,-2.11422,-1.157033333333333,9.245,21.039900000000003,25.1851,21.5516,160.0,304.0,152.0,104.0,1.0,2.5,3.0,3.0,8.5,16.0,15.0,13.0,0.7866499999999998,1.8819000000000001,1.58405,1.3110499999999998,202.225,315.24999999999994,255.08293399999997,213.050617,0.0,-0.8449999999999996,0.8400000000000001,1.8349999999999997,0.0,13.0,21.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.41500000000000004,0.755,1.125,0.0,18.15,15.942889999999998,18.685779999999994,IYIGEC_clean_primitive
10.9696,13.6688,42.754133333333336,35.00960000000001,59.0,127.33333333333333,173.33333333333334,110.33333333333333,1.0,1.6666666666666667,5.0,4.666666666666667,3.6666666666666665,14.666666666666666,22.0,17.0,0.5427666666666666,1.0739,2.2177666666666664,1.7323666666666664,36.980000000000004,152.16666666666663,227.705228,204.58880533333334,0.0,1.0633333333333335,2.7633333333333336,4.08,0.0,-4.333333333333333,14.333333333333334,19.666666666666668,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.6666666666666667,0.0,-0.21333333333333337,0.7133333333333333,1.123333333333333,0.0,-13.299999999999997,-2.11422,-1.157033333333333,9.245,21.039900000000003,25.1851,21.5516,160.0,304.0,152.0,104.0,1.0,2.5,3.0,3.0,8.5,16.0,15.0,13.0,0.7866499999999998,1.8819000000000001,1.58405,1.3110499999999998,202.225,315.24999999999994,255.08293400000002,213.050617,0.0,-0.8449999999999996,0.8400000000000001,1.8349999999999997,0.0,13.0,21.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.41500000000000004,0.755,1.125,0.0,18.15,15.942889999999998,18.685779999999994,IYIGEC_clean_primitive
