lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.9696,11.015999999999998,23.860266666666664,16.863999999999997,59.0,60.0,109.66666666666667,92.0,1.0,1.3333333333333333,2.6666666666666665,2.0,2.0,6.0,7.333333333333333,8.0,0.5427666666666666,0.7597333333333335,1.295,1.1344666666666667,36.980000000000004,95.67333333333333,127.01507600000002,135.6,0.0,0.9200000000000003,1.3166666666666667,1.5133333333333336,0.0,2.0,5.666666666666667,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.3333333333333335,0.0,-0.040000000000000036,0.21999999999999997,-0.06666666666666672,0.0,-6.6000000000000005,-3.371406666666667,-10.600000000000001,9.2416,15.504,30.369600000000002,15.504,49.0,84.0,105.0,84.0,1.0,2.0,4.0,2.0,4.0,12.0,14.0,12.0,0.5625,1.155,1.6949999999999998,1.155,54.760000000000005,167.24,205.08522800000003,167.24,0.0,0.9800000000000004,2.17,0.9800000000000004,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-0.040000000000000036,0.74,-0.040000000000000036,0.0,-7.800000000000001,1.8857800000000005,-7.800000000000001,KADLOT_clean_primitive
10.5376,12.138,25.4876,16.523999999999997,56.5,66.0,108.5,90.0,1.0,1.5,3.0,2.0,2.5,7.5,9.0,9.0,0.5477,0.85855,1.3949999999999998,1.1396000000000002,41.425000000000004,113.565,146.53261400000002,143.51,0.0,0.9350000000000003,1.5300000000000002,1.3800000000000003,0.0,2.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,-3.0,0.0,-0.040000000000000036,0.35,-0.06000000000000005,0.0,-6.9,-2.05711,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KADLOT_clean_primitive
10.9696,11.015999999999998,23.860266666666664,16.863999999999997,59.0,60.0,109.66666666666667,92.0,1.0,1.3333333333333333,2.6666666666666665,2.0,2.0,6.0,7.333333333333333,8.0,0.5427666666666666,0.7597333333333335,1.295,1.1344666666666667,36.980000000000004,95.67333333333333,127.01507600000002,135.6,0.0,0.9200000000000003,1.3166666666666667,1.5133333333333336,0.0,2.0,5.666666666666667,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.3333333333333335,0.0,-0.040000000000000036,0.21999999999999997,-0.06666666666666672,0.0,-6.6000000000000005,-3.371406666666667,-10.600000000000001,9.2416,15.504,30.369600000000005,15.504,49.0,84.0,105.0,84.0,1.0,2.0,4.0,2.0,4.0,12.0,14.0,12.0,0.5625,1.155,1.6949999999999998,1.155,54.760000000000005,167.24,205.08522800000003,167.24,0.0,0.9800000000000004,2.17,0.9800000000000004,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-0.040000000000000036,0.74,-0.040000000000000036,0.0,-7.800000000000001,1.8857800000000005,-7.800000000000001,KADLOT_clean_primitive
10.9696,11.015999999999998,23.860266666666664,16.863999999999997,59.0,60.0,109.66666666666667,92.0,1.0,1.3333333333333333,2.6666666666666665,2.0,2.0,6.0,7.333333333333333,8.0,0.5427666666666666,0.7597333333333335,1.295,1.1344666666666667,36.980000000000004,95.67333333333333,127.01507600000002,135.6,0.0,0.9200000000000003,1.3166666666666667,1.5133333333333336,0.0,2.0,5.666666666666667,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.3333333333333335,0.0,-0.040000000000000036,0.21999999999999997,-0.06666666666666672,0.0,-6.6000000000000005,-3.371406666666667,-10.600000000000001,9.2416,15.504,30.369600000000005,15.504,49.0,84.0,105.0,84.0,1.0,2.0,4.0,2.0,4.0,12.0,14.0,12.0,0.5625,1.155,1.6949999999999998,1.155,54.760000000000005,167.24,205.08522800000003,167.24,0.0,0.9800000000000004,2.17,0.9800000000000004,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-0.040000000000000036,0.74,-0.040000000000000036,0.0,-7.800000000000001,1.8857800000000005,-7.800000000000001,KADLOT_clean_primitive
10.5376,12.138,25.487599999999997,16.523999999999997,56.5,66.0,108.5,90.0,1.0,1.5,3.0,2.0,2.5,7.5,9.0,9.0,0.5477,0.85855,1.3949999999999998,1.1396000000000002,41.425000000000004,113.565,146.53261400000002,143.51,0.0,0.9350000000000003,1.5300000000000002,1.3800000000000003,0.0,2.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,-3.0,0.0,-0.040000000000000036,0.35,-0.06000000000000005,0.0,-6.9,-2.05711,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KADLOT_clean_primitive
10.5376,12.138,25.487599999999997,16.523999999999997,56.5,66.0,108.5,90.0,1.0,1.5,3.0,2.0,2.5,7.5,9.0,9.0,0.5477,0.85855,1.3949999999999998,1.1396000000000002,41.425000000000004,113.565,146.53261400000002,143.51,0.0,0.9350000000000003,1.5300000000000002,1.3800000000000003,0.0,2.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,-3.0,0.0,-0.040000000000000036,0.35,-0.06000000000000005,0.0,-6.9,-2.05711,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KADLOT_clean_primitive
10.9696,11.015999999999998,23.86026666666666,16.863999999999997,59.0,60.0,109.66666666666667,92.0,1.0,1.3333333333333333,2.6666666666666665,2.0,2.0,6.0,7.333333333333333,8.0,0.5427666666666666,0.7597333333333335,1.295,1.1344666666666667,36.980000000000004,95.67333333333333,127.01507600000002,135.6,0.0,0.9200000000000003,1.3166666666666667,1.5133333333333336,0.0,2.0,5.666666666666667,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.3333333333333335,0.0,-0.040000000000000036,0.21999999999999997,-0.06666666666666672,0.0,-6.6000000000000005,-3.371406666666667,-10.600000000000001,9.2416,15.504,30.369600000000005,15.504,49.0,84.0,105.0,84.0,1.0,2.0,4.0,2.0,4.0,12.0,14.0,12.0,0.5625,1.155,1.6949999999999998,1.155,54.760000000000005,167.24,205.08522800000003,167.24,0.0,0.9800000000000004,2.17,0.9800000000000004,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-0.040000000000000036,0.74,-0.040000000000000036,0.0,-7.800000000000001,1.8857800000000005,-7.800000000000001,KADLOT_clean_primitive
10.5376,12.138,25.487599999999997,16.523999999999997,56.5,66.0,108.5,90.0,1.0,1.5,3.0,2.0,2.5,7.5,9.0,9.0,0.5477,0.85855,1.3949999999999998,1.1396000000000002,41.425000000000004,113.565,146.53261400000002,143.51,0.0,0.9350000000000003,1.5300000000000002,1.3800000000000003,0.0,2.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,-3.0,0.0,-0.040000000000000036,0.35,-0.06000000000000005,0.0,-6.9,-2.05711,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KADLOT_clean_primitive
10.9696,11.015999999999998,23.86026666666666,16.863999999999997,59.0,60.0,109.66666666666667,92.0,1.0,1.3333333333333333,2.6666666666666665,2.0,2.0,6.0,7.333333333333333,8.0,0.5427666666666666,0.7597333333333335,1.295,1.1344666666666667,36.980000000000004,95.67333333333333,127.01507600000002,135.6,0.0,0.9200000000000003,1.3166666666666667,1.5133333333333336,0.0,2.0,5.666666666666667,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.3333333333333335,0.0,-0.040000000000000036,0.21999999999999997,-0.06666666666666672,0.0,-6.6000000000000005,-3.371406666666667,-10.600000000000001,9.2416,15.504,30.369600000000002,15.504,49.0,84.0,105.0,84.0,1.0,2.0,4.0,2.0,4.0,12.0,14.0,12.0,0.5625,1.155,1.6949999999999998,1.155,54.760000000000005,167.24,205.08522800000003,167.24,0.0,0.9800000000000004,2.17,0.9800000000000004,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-0.040000000000000036,0.74,-0.040000000000000036,0.0,-7.800000000000001,1.8857800000000005,-7.800000000000001,KADLOT_clean_primitive
10.5376,12.138,25.4876,16.523999999999997,56.5,66.0,108.5,90.0,1.0,1.5,3.0,2.0,2.5,7.5,9.0,9.0,0.5477,0.85855,1.3949999999999998,1.1396000000000002,41.425000000000004,113.565,146.53261400000002,143.51,0.0,0.9350000000000003,1.5300000000000002,1.3800000000000003,0.0,2.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,-3.0,0.0,-0.040000000000000036,0.35,-0.06000000000000005,0.0,-6.9,-2.05711,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KADLOT_clean_primitive
