f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
147.55790000000002,305.694,469.0254,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000001,22.715000000000003,32.4542,35.29,KADLOT_clean_primitive
147.55790000000002,305.694,469.0254,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000001,22.715000000000003,32.4542,35.29,KADLOT_clean_primitive
147.5579,305.6940000000001,469.0254000000001,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000003,22.715000000000003,32.4542,35.29,KADLOT_clean_primitive
147.5579,305.6940000000001,469.0254000000001,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000003,22.715000000000003,32.4542,35.29,KADLOT_clean_primitive
147.55790000000002,305.694,469.02540000000005,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000003,22.715000000000007,32.4542,35.290000000000006,KADLOT_clean_primitive
147.55790000000002,305.694,469.02540000000005,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000003,22.715000000000007,32.4542,35.290000000000006,KADLOT_clean_primitive
147.5579,305.6940000000001,469.0254000000001,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000003,22.715000000000003,32.4542,35.29,KADLOT_clean_primitive
147.5579,305.6940000000001,469.0254000000001,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000003,22.715000000000003,32.4542,35.29,KADLOT_clean_primitive
147.55790000000002,305.6940000000001,469.02540000000005,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000005,22.715000000000007,32.4542,35.290000000000006,KADLOT_clean_primitive
147.55790000000002,305.6940000000001,469.02540000000005,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000005,22.715000000000007,32.4542,35.290000000000006,KADLOT_clean_primitive
147.5579,305.69399999999996,469.02539999999993,532.012,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000001,22.715000000000003,32.4542,35.290000000000006,KADLOT_clean_primitive
147.5579,305.69399999999996,469.02539999999993,532.012,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000001,22.715000000000003,32.45420000000001,35.290000000000006,KADLOT_clean_primitive
147.5579,305.694,469.02539999999993,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671,22.71500000000001,32.45420000000001,35.290000000000006,KADLOT_clean_primitive
147.55790000000002,305.694,469.0254,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000001,22.715000000000003,32.4542,35.290000000000006,KADLOT_clean_primitive
147.5579,305.694,469.02539999999993,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671,22.71500000000001,32.45420000000001,35.290000000000006,KADLOT_clean_primitive
147.55790000000002,305.694,469.0254,532.0120000000001,629.0,1332.0,1842.0,1828.0,22.0,46.0,70.0,84.0,116.0,282.0,392.0,412.0,9.671000000000001,22.715000000000003,32.4542,35.290000000000006,KADLOT_clean_primitive
