f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
177.08939999999998,355.0110000000001,557.1304000000001,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.84220000000001,39.46120000000001,45.108399999999996,KINKID
240.25460000000004,543.6812000000001,845.5304000000002,970.8930000000004,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000008,39.563400000000016,57.972000000000016,60.58580000000003,KINKID
240.25460000000004,543.6812000000003,845.5304000000001,970.8930000000003,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000008,39.563400000000016,57.97200000000002,60.58580000000003,KINKID
177.0894,355.011,557.1304000000001,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.84220000000001,39.461200000000005,45.108399999999996,KINKID
177.08939999999998,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.84220000000001,39.461200000000005,45.10840000000001,KINKID
177.08939999999998,355.0110000000001,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.84220000000001,39.46120000000001,45.108399999999996,KINKID
240.25460000000004,543.6812000000001,845.5304,970.8930000000003,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000008,39.563400000000016,57.972000000000016,60.58580000000003,KINKID
240.2546,543.6812000000002,845.5304,970.8930000000004,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000008,39.563400000000016,57.97200000000002,60.58580000000002,KINKID
240.2546,543.6812000000002,845.5304,970.8930000000004,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000008,39.563400000000016,57.972000000000016,60.58580000000003,KINKID
177.08939999999998,355.011,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.84220000000001,39.46120000000001,45.1084,KINKID
177.0894,355.0110000000001,557.1304000000001,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.842200000000005,39.46120000000001,45.1084,KINKID
240.2546,543.6812000000002,845.5304,970.8930000000004,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000006,39.563400000000016,57.972000000000016,60.58580000000002,KINKID
240.2546,543.6812000000003,845.5304000000001,970.8930000000004,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000008,39.563400000000016,57.972000000000016,60.58580000000003,KINKID
240.2546,543.6812000000003,845.5304000000001,970.8930000000003,956.0,2282.0,3164.0,2916.0,38.0,82.0,128.0,154.0,210.0,524.0,748.0,738.0,15.963800000000006,39.563400000000016,57.97200000000002,60.58580000000002,KINKID
177.08939999999998,355.011,557.1304000000001,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.84220000000001,39.46120000000001,45.108399999999996,KINKID
177.08939999999998,355.011,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.46120000000001,45.10840000000001,KINKID
