f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
211.0671,484.24500000000023,770.7396000000001,832.458,846.0,2052.0,2910.0,2514.0,33.0,72.0,114.0,132.0,186.0,468.0,690.0,684.0,13.911300000000006,34.83480000000001,52.07700000000001,52.896000000000015,KIYJAF
151.0794,289.9860000000001,472.4504,578.0790000000001,624.0,1200.0,1700.0,1548.0,22.0,44.0,72.0,90.0,116.0,284.0,376.0,394.0,9.1558,20.913200000000007,30.5224,33.8058,KIYJAF
151.0794,289.98600000000005,472.4504,578.0790000000001,624.0,1200.0,1700.0,1548.0,22.0,44.0,72.0,90.0,116.0,284.0,376.0,394.0,9.1558,20.913200000000007,30.522400000000005,33.80579999999999,KIYJAF
211.0671,484.24500000000023,770.7396000000001,832.4580000000001,846.0,2052.0,2910.0,2514.0,33.0,72.0,114.0,132.0,186.0,468.0,690.0,684.0,13.911300000000006,34.83480000000001,52.077000000000005,52.89600000000002,KIYJAF
151.0794,289.986,472.4504,578.0790000000001,624.0,1200.0,1700.0,1548.0,22.0,44.0,72.0,90.0,116.0,284.0,376.0,394.0,9.155800000000003,20.913200000000003,30.5224,33.8058,KIYJAF
151.0794,289.986,472.4504,578.0790000000001,624.0,1200.0,1700.0,1548.0,22.0,44.0,72.0,90.0,116.0,284.0,376.0,394.0,9.155800000000001,20.913200000000003,30.522399999999998,33.8058,KIYJAF
151.0794,289.98600000000005,472.4504,578.0790000000001,624.0,1200.0,1700.0,1548.0,22.0,44.0,72.0,90.0,116.0,284.0,376.0,394.0,9.155800000000001,20.913200000000003,30.522400000000005,33.8058,KIYJAF
211.06710000000004,484.2450000000001,770.7396000000001,832.4580000000001,846.0,2052.0,2910.0,2514.0,33.0,72.0,114.0,132.0,186.0,468.0,690.0,684.0,13.911300000000004,34.834800000000016,52.077000000000005,52.89600000000001,KIYJAF
211.0671,484.2450000000001,770.7396000000001,832.4580000000002,846.0,2052.0,2910.0,2514.0,33.0,72.0,114.0,132.0,186.0,468.0,690.0,684.0,13.911300000000006,34.834800000000016,52.077000000000005,52.896000000000015,KIYJAF
151.0794,289.98600000000005,472.45039999999995,578.079,624.0,1200.0,1700.0,1548.0,22.0,44.0,72.0,90.0,116.0,284.0,376.0,394.0,9.155799999999997,20.913200000000003,30.5224,33.8058,KIYJAF
