f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
50.4098,103.4194,129.69120000000004,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4937999999999994,LECGIL_clean_primitive
50.4098,103.4194,129.6912,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.4194,129.6912,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.4194,129.6912,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4937999999999994,LECGIL_clean_primitive
50.409800000000004,103.4194,129.6912,63.184000000000005,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.4194,129.6912,63.184000000000005,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.41939999999998,129.6912,63.184000000000005,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.41939999999998,129.6912,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.8854,7.994600000000001,2.4937999999999994,LECGIL_clean_primitive
50.409800000000004,103.4194,129.6912,63.184000000000005,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.4194,129.69120000000004,63.184000000000005,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.4194,129.69120000000004,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4937999999999994,LECGIL_clean_primitive
50.4098,103.4194,129.69120000000004,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4937999999999994,LECGIL_clean_primitive
50.4098,103.4194,129.6912,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.994600000000001,2.4937999999999994,LECGIL_clean_primitive
50.4098,103.4194,129.69120000000004,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4938,LECGIL_clean_primitive
50.4098,103.4194,129.69120000000004,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4937999999999994,LECGIL_clean_primitive
50.4098,103.4194,129.69120000000004,63.18400000000001,221.0,460.0,486.0,58.0,7.0,14.0,18.0,10.0,32.0,70.0,76.0,18.0,3.1471,6.885400000000001,7.9946,2.4937999999999994,LECGIL_clean_primitive
