lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,17.29152,23.067520000000002,13.528,49.0,92.4,112.0,61.6,1.0,2.0,2.8,1.8,4.0,9.6,12.8,9.2,0.5625,1.137,1.4790000000000003,0.9195,54.760000000000005,132.608,179.3970456,130.4090456,0.0,0.3920000000000002,0.9240000000000002,1.0220000000000002,0.0,0.8,3.6,3.8,0.0,0.0,0.0,0.0,0.0,-0.8,-0.8,-1.0,0.0,-0.016000000000000014,0.12799999999999997,0.12399999999999997,0.0,-3.12,-3.5228440000000005,-4.302844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATFIY_clean_primitive
9.2416,17.7384,21.6144,11.628,49.0,94.5,115.5,63.0,1.0,2.0,2.5,1.5,4.0,9.0,12.0,9.0,0.5625,1.1325,1.4212500000000001,0.86625,54.760000000000005,123.95,165.76,125.43,0.0,0.2450000000000001,0.4900000000000002,0.7350000000000003,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.5,0.0,-0.010000000000000009,-0.020000000000000018,-0.030000000000000027,0.0,-1.9500000000000002,-3.9000000000000004,-5.8500000000000005,9.2416,16.993599999999997,24.036266666666666,14.794666666666666,49.0,91.0,109.66666666666667,60.666666666666664,1.0,2.0,3.0,2.0,4.0,10.0,13.333333333333334,9.333333333333334,0.5625,1.14,1.5175,0.955,54.76000000000001,138.38,188.48840933333335,133.72840933333336,0.0,0.4900000000000002,1.2133333333333336,1.2133333333333336,0.0,1.0,5.333333333333333,5.333333333333333,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6666666666666666,-0.6666666666666666,0.0,-0.020000000000000018,0.22666666666666666,0.22666666666666666,0.0,-3.9000000000000004,-3.271406666666667,-3.271406666666667,MATFIY_clean_primitive
9.2416,17.29152,23.067519999999995,13.528,49.0,92.4,112.0,61.6,1.0,2.0,2.8,1.8,4.0,9.6,12.8,9.2,0.5625,1.137,1.4790000000000003,0.9195,54.760000000000005,132.608,179.3970456,130.4090456,0.0,0.3920000000000002,0.9240000000000002,1.0220000000000002,0.0,0.8,3.6,3.8,0.0,0.0,0.0,0.0,0.0,-0.8,-0.8,-1.0,0.0,-0.016000000000000014,0.12799999999999997,0.12399999999999997,0.0,-3.12,-3.5228440000000005,-4.302844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATFIY_clean_primitive
9.2416,17.29152,23.067520000000002,13.528,49.0,92.4,112.0,61.6,1.0,2.0,2.8,1.8,4.0,9.6,12.8,9.2,0.5625,1.137,1.479,0.9195,54.760000000000005,132.608,179.3970456,130.4090456,0.0,0.3920000000000002,0.9240000000000002,1.0220000000000002,0.0,0.8,3.6,3.8,0.0,0.0,0.0,0.0,0.0,-0.8,-0.8,-1.0,0.0,-0.016000000000000014,0.12799999999999997,0.12399999999999997,0.0,-3.12,-3.5228440000000005,-4.302844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATFIY_clean_primitive
9.2416,17.490133333333333,20.955733333333335,12.210666666666667,49.0,93.33333333333333,93.33333333333333,46.666666666666664,1.0,2.0,2.6666666666666665,1.6666666666666667,4.0,9.333333333333334,12.0,7.333333333333333,0.5625,1.135,1.33,0.7624999999999998,54.76000000000001,128.76000000000002,170.23507600000002,105.85507600000001,0.0,0.3266666666666668,1.2133333333333336,1.05,0.0,0.6666666666666666,5.333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,0.0,-0.013333333333333345,0.22666666666666666,0.2333333333333333,0.0,-2.6,-3.271406666666667,-1.9714066666666668,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,MATFIY_clean_primitive
9.2416,17.490133333333333,23.154666666666667,12.92,49.0,93.33333333333333,123.66666666666667,70.0,1.0,2.0,2.6666666666666665,1.6666666666666667,4.0,9.333333333333334,12.666666666666666,10.0,0.5625,1.135,1.515,0.9625,54.76000000000001,128.76,174.88666666666666,139.36666666666667,0.0,0.3266666666666668,0.4900000000000002,0.816666666666667,0.0,0.6666666666666666,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,-1.6666666666666667,0.0,-0.013333333333333345,-0.020000000000000018,-0.03333333333333336,0.0,-2.6,-3.9000000000000004,-6.5,9.2416,16.9936,22.936799999999998,14.44,49.0,91.0,94.5,49.0,1.0,2.0,3.0,2.0,4.0,10.0,13.0,8.0,0.5625,1.1400000000000001,1.425,0.855,54.760000000000005,138.38,186.16261400000002,116.97261400000001,0.0,0.4900000000000002,1.5750000000000002,1.33,0.0,1.0,7.5,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,0.0,0.0,-0.020000000000000018,0.35,0.36,0.0,-3.9000000000000004,-2.95711,-1.00711,MATFIY_clean_primitive
9.2416,17.490133333333333,23.154666666666667,12.92,49.0,93.33333333333333,123.66666666666667,70.0,1.0,2.0,2.6666666666666665,1.6666666666666667,4.0,9.333333333333334,12.666666666666666,10.0,0.5625,1.135,1.515,0.9625,54.76000000000001,128.76,174.88666666666666,139.36666666666667,0.0,0.3266666666666668,0.4900000000000002,0.816666666666667,0.0,0.6666666666666666,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,-1.6666666666666667,0.0,-0.013333333333333345,-0.020000000000000018,-0.03333333333333336,0.0,-2.6,-3.9000000000000004,-6.5,9.2416,16.9936,22.9368,14.44,49.0,91.0,94.5,49.0,1.0,2.0,3.0,2.0,4.0,10.0,13.0,8.0,0.5625,1.1400000000000001,1.425,0.855,54.760000000000005,138.38,186.16261400000002,116.97261400000001,0.0,0.4900000000000002,1.5750000000000002,1.33,0.0,1.0,7.5,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,0.0,0.0,-0.020000000000000018,0.35,0.36,0.0,-3.9000000000000004,-2.95711,-1.00711,MATFIY_clean_primitive
9.2416,17.490133333333333,20.95573333333333,12.210666666666667,49.0,93.33333333333333,93.33333333333333,46.666666666666664,1.0,2.0,2.6666666666666665,1.6666666666666667,4.0,9.333333333333334,12.0,7.333333333333333,0.5625,1.135,1.33,0.7624999999999998,54.76000000000001,128.76000000000002,170.23507600000002,105.85507600000001,0.0,0.3266666666666668,1.2133333333333336,1.05,0.0,0.6666666666666666,5.333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,0.0,-0.013333333333333345,0.22666666666666666,0.2333333333333333,0.0,-2.6,-3.271406666666667,-1.9714066666666668,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,MATFIY_clean_primitive
9.2416,17.29152,23.067520000000002,13.528,49.0,92.4,112.0,61.6,1.0,2.0,2.8,1.8,4.0,9.6,12.8,9.2,0.5625,1.137,1.4790000000000003,0.9195,54.760000000000005,132.608,179.3970456,130.4090456,0.0,0.3920000000000002,0.9240000000000002,1.0220000000000002,0.0,0.8,3.6,3.8,0.0,0.0,0.0,0.0,0.0,-0.8,-0.8,-1.0,0.0,-0.016000000000000014,0.12799999999999997,0.12399999999999997,0.0,-3.12,-3.5228440000000005,-4.302844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATFIY_clean_primitive
9.2416,17.7384,21.6144,11.628,49.0,94.5,115.5,63.0,1.0,2.0,2.5,1.5,4.0,9.0,12.0,9.0,0.5625,1.1325,1.4212500000000001,0.86625,54.760000000000005,123.95,165.76,125.43,0.0,0.2450000000000001,0.4900000000000002,0.7350000000000003,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.5,0.0,-0.010000000000000009,-0.020000000000000018,-0.030000000000000027,0.0,-1.9500000000000002,-3.9000000000000004,-5.8500000000000005,9.2416,16.993599999999997,24.036266666666666,14.794666666666666,49.0,91.0,109.66666666666667,60.666666666666664,1.0,2.0,3.0,2.0,4.0,10.0,13.333333333333334,9.333333333333334,0.5625,1.14,1.5175,0.955,54.76000000000001,138.38,188.48840933333335,133.72840933333336,0.0,0.4900000000000002,1.2133333333333336,1.2133333333333336,0.0,1.0,5.333333333333333,5.333333333333333,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6666666666666666,-0.6666666666666666,0.0,-0.020000000000000018,0.22666666666666666,0.22666666666666666,0.0,-3.9000000000000004,-3.271406666666667,-3.271406666666667,MATFIY_clean_primitive
