lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,20.8696,35.522400000000005,23.8944,49.0,112.0,147.0,84.0,1.0,2.5,4.5,3.0,6.5,18.5,25.0,13.0,0.5625,1.4287500000000002,2.1262499999999998,1.26,54.760000000000005,180.19,257.598921,132.168921,0.0,0.7350000000000003,1.995,1.2599999999999998,0.0,1.5,10.5,9.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.5,3.0,0.0,-0.030000000000000027,0.54,0.5700000000000001,0.0,-5.8500000000000005,-1.510665,4.339335,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,24.7456,47.363200000000006,31.8592,49.0,133.0,196.0,112.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,18.0,0.5625,1.7175,2.835,1.6799999999999997,54.760000000000005,222.0,343.465228,176.22522800000002,0.0,0.9800000000000004,2.66,1.6799999999999997,0.0,2.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,-0.040000000000000036,0.72,0.76,0.0,-7.800000000000001,-2.01422,5.785780000000001,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,24.7456,47.363200000000006,31.8592,49.0,133.0,196.0,112.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,18.0,0.5625,1.7175000000000002,2.835,1.68,54.760000000000005,222.0,343.465228,176.22522800000002,0.0,0.9800000000000004,2.66,1.6799999999999997,0.0,2.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,-0.040000000000000036,0.72,0.76,0.0,-7.800000000000001,-2.01422,5.785780000000001,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,20.8696,35.5224,23.8944,49.0,112.0,147.0,84.0,1.0,2.5,4.5,3.0,6.5,18.5,25.0,13.0,0.5625,1.4287500000000002,2.1262499999999998,1.2599999999999998,54.760000000000005,180.19,257.598921,132.168921,0.0,0.7350000000000003,1.995,1.2599999999999998,0.0,1.5,10.5,9.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.5,3.0,0.0,-0.030000000000000027,0.54,0.5700000000000001,0.0,-5.8500000000000005,-1.510665,4.339335,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,20.8696,35.522400000000005,23.894399999999997,49.0,112.0,147.0,84.0,1.0,2.5,4.5,3.0,6.5,18.5,25.0,13.0,0.5625,1.42875,2.1262499999999998,1.2599999999999998,54.760000000000005,180.19,257.598921,132.168921,0.0,0.7350000000000003,1.995,1.2599999999999998,0.0,1.5,10.5,9.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.5,3.0,0.0,-0.030000000000000027,0.54,0.5700000000000001,0.0,-5.85,-1.510665,4.339335,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,24.7456,47.363200000000006,31.8592,49.0,133.0,196.0,112.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,18.0,0.5625,1.7175,2.835,1.6799999999999997,54.760000000000005,222.0,343.465228,176.22522800000002,0.0,0.9800000000000004,2.66,1.6799999999999997,0.0,2.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,-0.040000000000000036,0.72,0.76,0.0,-7.800000000000001,-2.01422,5.785780000000001,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,24.7456,47.363200000000006,31.8592,49.0,133.0,196.0,112.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,18.0,0.5625,1.7175000000000002,2.835,1.68,54.760000000000005,222.0,343.465228,176.22522800000002,0.0,0.9800000000000004,2.66,1.6799999999999997,0.0,2.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,-0.040000000000000036,0.72,0.76,0.0,-7.800000000000001,-2.01422,5.785780000000001,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,20.869600000000002,35.522400000000005,23.894399999999997,49.0,112.0,147.0,84.0,1.0,2.5,4.5,3.0,6.5,18.5,25.0,13.0,0.5625,1.4287500000000004,2.12625,1.2599999999999998,54.760000000000005,180.19,257.598921,132.168921,0.0,0.7350000000000003,1.995,1.2599999999999998,0.0,1.5,10.5,9.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.5,3.0,0.0,-0.030000000000000027,0.5399999999999999,0.57,0.0,-5.85,-1.510665,4.339335000000001,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,20.8696,35.522400000000005,23.8944,49.0,112.0,147.0,84.0,1.0,2.5,4.5,3.0,6.5,18.5,25.0,13.0,0.5625,1.4287500000000002,2.1262499999999998,1.26,54.760000000000005,180.19,257.598921,132.168921,0.0,0.7350000000000003,1.995,1.2599999999999998,0.0,1.5,10.5,9.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.5,3.0,0.0,-0.030000000000000027,0.54,0.5700000000000001,0.0,-5.8500000000000005,-1.510665,4.339335,MONWET_clean_primitive
9.2416,16.9936,23.681600000000003,15.9296,49.0,91.0,98.0,56.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.4175,0.84,54.760000000000005,138.38,171.732614,88.11261400000001,0.0,0.4900000000000002,1.33,0.8399999999999999,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.36,0.38,0.0,-3.9000000000000004,-1.00711,2.8928900000000004,9.2416,20.8696,35.5224,23.8944,49.0,112.0,147.0,84.0,1.0,2.5,4.5,3.0,6.5,18.5,25.0,13.0,0.5625,1.4287500000000002,2.1262499999999998,1.2599999999999998,54.760000000000005,180.19,257.598921,132.168921,0.0,0.7350000000000003,1.995,1.2599999999999998,0.0,1.5,10.5,9.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.5,3.0,0.0,-0.030000000000000027,0.54,0.5700000000000001,0.0,-5.8500000000000005,-1.510665,4.339335,MONWET_clean_primitive
