NIRDAT_clean_primitive, Anchors list: {0, 2}, SBU connectlist: {0, 2}
NIRDAT_clean_primitive, Anchors list: {1, 3}, SBU connectlist: {1, 3}
NIRDAT_clean_primitive, Anchors list: {1, 10}, SBU connectlist: {1, 10}
NIRDAT_clean_primitive, Anchors list: {0, 11}, SBU connectlist: {0, 11}
NIRDAT_clean_primitive, Anchors list: {0, 11}, SBU connectlist: {0, 11}
NIRDAT_clean_primitive, Anchors list: {1, 10}, SBU connectlist: {1, 10}
NIRDAT_clean_primitive, Anchors list: {8, 7}, SBU connectlist: {8, 7}
NIRDAT_clean_primitive, Anchors list: {9, 6}, SBU connectlist: {9, 6}
NIRDAT_clean_primitive, Anchors list: {5, 7}, SBU connectlist: {5, 7}
NIRDAT_clean_primitive, Anchors list: {4, 6}, SBU connectlist: {4, 6}
NIRDAT_clean_primitive, Anchors list: {9, 6}, SBU connectlist: {9, 6}
NIRDAT_clean_primitive, Anchors list: {8, 7}, SBU connectlist: {8, 7}
NIRDAT_clean_primitive, Anchors list: {4, 6}, SBU connectlist: {4, 6}
NIRDAT_clean_primitive, Anchors list: {5, 7}, SBU connectlist: {5, 7}
NIRDAT_clean_primitive, Anchors list: {8, 11}, SBU connectlist: {8, 11}
NIRDAT_clean_primitive, Anchors list: {9, 10}, SBU connectlist: {9, 10}
NIRDAT_clean_primitive, Anchors list: {3, 4}, SBU connectlist: {3, 4}
NIRDAT_clean_primitive, Anchors list: {2, 5}, SBU connectlist: {2, 5}
NIRDAT_clean_primitive, Anchors list: {1, 3}, SBU connectlist: {1, 3}
NIRDAT_clean_primitive, Anchors list: {0, 2}, SBU connectlist: {0, 2}
