f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
136.2154,281.9492,428.7882000000001,469.8710000000001,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.941200000000002,20.960200000000004,30.157600000000002,30.625,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492,428.7882000000001,469.8710000000001,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.9412,20.9602,30.157600000000002,30.625000000000004,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492,428.7882,469.87100000000004,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.941200000000002,20.960200000000007,30.157600000000006,30.625,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492,428.7882,469.87100000000004,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.941200000000002,20.960200000000007,30.157600000000006,30.625,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492,428.7882,469.87100000000004,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.941200000000002,20.960200000000007,30.157600000000006,30.625,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492,428.7882,469.87100000000004,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.941200000000002,20.960200000000004,30.157600000000006,30.625,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492000000001,428.7882000000001,469.8710000000001,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.9412,20.960200000000007,30.15760000000001,30.625,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492000000001,428.7882000000001,469.8710000000001,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.9412,20.960200000000007,30.15760000000001,30.624999999999996,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492000000001,428.7882000000001,469.8710000000001,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.9412,20.960200000000007,30.15760000000001,30.624999999999996,Ni8_OH_4_H2O_2_L7_6
136.2154,281.9492000000001,428.78820000000013,469.8710000000001,592.0,1250.0,1740.0,1568.0,20.0,42.0,64.0,74.0,106.0,260.0,364.0,354.0,8.9412,20.960200000000007,30.15760000000001,30.624999999999993,Ni8_OH_4_H2O_2_L7_6
