f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
154.59320000000002,339.7110000000001,539.4460000000001,616.6080000000002,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.882600000000004,24.501400000000004,35.400800000000004,38.776399999999995,ONULOA
154.59320000000002,339.7110000000001,539.4460000000001,616.6080000000002,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.882600000000004,24.501400000000004,35.400800000000004,38.776399999999995,ONULOA
154.5932,339.71100000000007,539.4460000000001,616.6080000000002,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.882600000000004,24.501400000000004,35.400800000000004,38.776399999999995,ONULOA
154.5932,339.71100000000007,539.4460000000001,616.6080000000002,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.882600000000004,24.501400000000004,35.400800000000004,38.776399999999995,ONULOA
402.8737999999997,836.5020000000006,1341.2108,1727.749,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.886000000000013,64.31040000000003,97.80280000000002,119.67700000000004,ONULOA
402.8737999999997,836.5020000000006,1341.2108,1727.749,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.886000000000013,64.31040000000003,97.80280000000002,119.67700000000004,ONULOA
402.87379999999973,836.5020000000006,1341.2108000000003,1727.7489999999998,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.88600000000001,64.31040000000002,97.8028,119.67700000000002,ONULOA
402.87379999999973,836.5020000000006,1341.2108000000003,1727.7489999999998,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.88600000000001,64.31040000000003,97.80279999999999,119.67700000000004,ONULOA
402.87379999999973,836.5020000000006,1341.2108000000003,1727.7490000000007,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.88600000000001,64.31040000000003,97.80279999999998,119.677,ONULOA
402.87379999999973,836.5020000000007,1341.2108000000003,1727.7490000000012,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.886000000000013,64.31040000000003,97.80279999999999,119.67700000000002,ONULOA
402.8737999999998,836.5020000000009,1341.2108000000012,1727.7490000000014,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.88600000000002,64.31040000000003,97.80279999999999,119.67700000000002,ONULOA
154.5932,339.71100000000007,539.4460000000001,616.6080000000001,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.882600000000004,24.501400000000007,35.40080000000001,38.7764,ONULOA
154.59320000000002,339.71100000000007,539.4460000000001,616.6080000000001,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.882600000000002,24.501400000000007,35.40080000000001,38.7764,ONULOA
402.8737999999998,836.5020000000009,1341.2108000000012,1727.7490000000012,1754.0,3720.0,5600.0,6328.0,60.0,128.0,204.0,274.0,332.0,840.0,1244.0,1474.0,26.88600000000002,64.31040000000003,97.80279999999999,119.67700000000002,ONULOA
154.59320000000002,339.71100000000007,539.4460000000001,616.6080000000001,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.8826,24.501400000000004,35.40080000000001,38.7764,ONULOA
154.59320000000002,339.71100000000007,539.4460000000001,616.6080000000001,542.0,1272.0,1744.0,1704.0,26.0,54.0,88.0,100.0,142.0,342.0,460.0,504.0,9.8826,24.501400000000004,35.40080000000001,38.7764,ONULOA
