OTUYEJ_clean_primitive, Anchors list: {35, 3, 36}, SBU connectlist: {16, 3}
OTUYEJ_clean_primitive, Anchors list: {2, 34, 37}, SBU connectlist: {2, 18}
OTUYEJ_clean_primitive, Anchors list: {33, 2, 37}, SBU connectlist: {2, 18}
OTUYEJ_clean_primitive, Anchors list: {32, 3, 36}, SBU connectlist: {16, 3}
OTUYEJ_clean_primitive, Anchors list: {32, 35, 3}, SBU connectlist: {16, 3}
OTUYEJ_clean_primitive, Anchors list: {33, 2, 34}, SBU connectlist: {2, 18}
OTUYEJ_clean_primitive, Anchors list: {40, 1, 43}, SBU connectlist: {16, 1}
OTUYEJ_clean_primitive, Anchors list: {0, 41, 42}, SBU connectlist: {0, 18}
OTUYEJ_clean_primitive, Anchors list: {43, 38, 7}, SBU connectlist: {16, 7}
OTUYEJ_clean_primitive, Anchors list: {42, 6, 39}, SBU connectlist: {18, 6}
OTUYEJ_clean_primitive, Anchors list: {41, 5, 39}, SBU connectlist: {18, 5}
OTUYEJ_clean_primitive, Anchors list: {40, 4, 38}, SBU connectlist: {16, 4}
OTUYEJ_clean_primitive, Anchors list: {1, 43, 36}, SBU connectlist: {16, 1}
OTUYEJ_clean_primitive, Anchors list: {0, 42, 37}, SBU connectlist: {0, 18}
OTUYEJ_clean_primitive, Anchors list: {0, 41, 37}, SBU connectlist: {0, 18}
OTUYEJ_clean_primitive, Anchors list: {40, 1, 36}, SBU connectlist: {16, 1}
OTUYEJ_clean_primitive, Anchors list: {43, 35, 7}, SBU connectlist: {16, 7}
OTUYEJ_clean_primitive, Anchors list: {34, 42, 6}, SBU connectlist: {18, 6}
OTUYEJ_clean_primitive, Anchors list: {33, 5, 41}, SBU connectlist: {18, 5}
OTUYEJ_clean_primitive, Anchors list: {32, 40, 4}, SBU connectlist: {16, 4}
OTUYEJ_clean_primitive, Anchors list: {35, 38, 7}, SBU connectlist: {16, 7}
OTUYEJ_clean_primitive, Anchors list: {34, 6, 39}, SBU connectlist: {18, 6}
OTUYEJ_clean_primitive, Anchors list: {33, 5, 39}, SBU connectlist: {18, 5}
OTUYEJ_clean_primitive, Anchors list: {32, 4, 38}, SBU connectlist: {16, 4}
