f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
134.89690000000002,254.54099999999997,403.59039999999993,459.35699999999997,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.2891,18.587800000000005,26.807599999999997,29.92220000000001,PAFMUH_clean_primitive
134.89690000000002,254.54100000000005,403.59039999999993,459.35699999999997,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.289099999999998,18.587800000000005,26.807600000000004,29.922200000000007,PAFMUH_clean_primitive
233.7521,531.1564000000002,838.1677999999999,959.7900000000001,920.0,2212.0,3074.0,2808.0,37.0,80.0,128.0,156.0,208.0,524.0,768.0,812.0,15.370900000000002,38.37840000000001,57.123200000000026,61.37560000000002,PAFMUH_clean_primitive
233.7521,531.1564000000002,838.1678,959.7900000000001,920.0,2212.0,3074.0,2808.0,37.0,80.0,128.0,156.0,208.0,524.0,768.0,812.0,15.370899999999999,38.37840000000001,57.12320000000002,61.37560000000003,PAFMUH_clean_primitive
134.8969,254.541,403.5904,459.35699999999997,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.2891,18.587800000000005,26.8076,29.922200000000004,PAFMUH_clean_primitive
134.89690000000002,254.54100000000005,403.59040000000005,459.35699999999997,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.289100000000001,18.58780000000001,26.8076,29.92220000000001,PAFMUH_clean_primitive
134.8969,254.54100000000008,403.5904000000001,459.357,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.289100000000001,18.58780000000001,26.807600000000008,29.922200000000007,PAFMUH_clean_primitive
134.8969,254.541,403.5904,459.35699999999997,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.2891,18.587799999999998,26.807600000000004,29.922200000000007,PAFMUH_clean_primitive
233.7521,531.1564000000002,838.1677999999998,959.7900000000002,920.0,2212.0,3074.0,2808.0,37.0,80.0,128.0,156.0,208.0,524.0,768.0,812.0,15.370900000000008,38.37840000000001,57.12320000000002,61.37560000000001,PAFMUH_clean_primitive
233.7521,531.1564000000003,838.1677999999999,959.7900000000002,920.0,2212.0,3074.0,2808.0,37.0,80.0,128.0,156.0,208.0,524.0,768.0,812.0,15.370900000000008,38.37840000000001,57.12320000000002,61.37560000000001,PAFMUH_clean_primitive
134.8969,254.541,403.5904,459.35699999999997,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.2891,18.5878,26.8076,29.922200000000004,PAFMUH_clean_primitive
134.8969,254.54100000000005,403.5904,459.357,586.0,1104.0,1618.0,1632.0,19.0,38.0,60.0,70.0,98.0,234.0,316.0,334.0,8.2891,18.587800000000005,26.807600000000008,29.922200000000004,PAFMUH_clean_primitive
