f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
309.5413999999999,727.4572000000004,1155.4984,1389.1574000000003,1337.0,3250.0,4582.0,4514.0,45.0,106.0,170.0,212.0,312.0,922.0,1250.0,1160.0,19.84530000000001,52.45220000000002,78.20900000000002,85.2792,PAFXUS
309.5413999999999,727.4572000000004,1155.4984,1389.1574000000003,1337.0,3250.0,4582.0,4514.0,45.0,106.0,170.0,212.0,312.0,922.0,1250.0,1160.0,19.84530000000001,52.45220000000002,78.209,85.2792,PAFXUS
304.7014,716.2372000000005,1123.3784000000003,1305.8654000000001,1336.0,3238.0,4556.0,4442.0,44.0,104.0,164.0,198.0,304.0,894.0,1184.0,1098.0,19.70840000000001,51.88240000000002,76.79560000000001,81.94179999999999,PAFXUS
304.7014,716.2372000000005,1123.3784000000003,1305.8654000000001,1336.0,3238.0,4556.0,4442.0,44.0,104.0,164.0,198.0,304.0,894.0,1184.0,1098.0,19.70840000000001,51.88240000000002,76.79560000000001,81.94179999999999,PAFXUS
309.54139999999984,727.4572000000003,1155.4984000000002,1389.1573999999996,1337.0,3250.0,4582.0,4514.0,45.0,106.0,170.0,212.0,312.0,922.0,1250.0,1160.0,19.84530000000001,52.45220000000001,78.20899999999999,85.2792,PAFXUS
309.54139999999984,727.4572000000003,1155.4984000000002,1389.1573999999996,1337.0,3250.0,4582.0,4514.0,45.0,106.0,170.0,212.0,312.0,922.0,1250.0,1160.0,19.84530000000001,52.45220000000001,78.20899999999999,85.2792,PAFXUS
304.7013999999999,716.2371999999999,1123.3784,1305.8653999999997,1336.0,3238.0,4556.0,4442.0,44.0,104.0,164.0,198.0,304.0,894.0,1184.0,1098.0,19.708400000000008,51.88240000000001,76.7956,81.94179999999997,PAFXUS
304.7014,716.2372000000001,1123.3784,1305.8653999999995,1336.0,3238.0,4556.0,4442.0,44.0,104.0,164.0,198.0,304.0,894.0,1184.0,1098.0,19.708400000000008,51.88240000000001,76.79560000000001,81.94179999999999,PAFXUS
276.6853,581.8080000000001,918.3804000000002,1088.8123999999998,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.308800000000005,43.65900000000002,64.85820000000001,72.15840000000001,PAFXUS
276.6853,581.8080000000001,918.3804000000002,1088.8123999999998,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.308800000000005,43.65900000000002,64.85820000000001,72.15840000000001,PAFXUS
276.6852999999999,581.8080000000001,918.3804000000002,1088.8123999999998,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.30880000000001,43.65900000000001,64.85820000000002,72.15840000000001,PAFXUS
276.6853,581.8080000000002,918.3804,1088.8124,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.308800000000005,43.65900000000002,64.8582,72.15839999999999,PAFXUS
276.6853,581.8080000000002,918.3804,1088.8124,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.308800000000005,43.65900000000002,64.8582,72.15839999999999,PAFXUS
276.6852999999999,581.8080000000001,918.3804000000002,1088.8123999999998,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.30880000000001,43.65900000000001,64.85820000000002,72.15840000000001,PAFXUS
276.6853,581.8080000000002,918.3804000000001,1088.8124,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.308800000000005,43.65900000000002,64.85820000000001,72.1584,PAFXUS
276.6853,581.8080000000002,918.3804000000001,1088.8124,1234.0,2652.0,3912.0,4040.0,40.0,86.0,134.0,164.0,220.0,546.0,778.0,830.0,18.308800000000005,43.65900000000002,64.85820000000001,72.1584,PAFXUS
