f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
205.2526,415.6130000000001,658.8194,795.449,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000005,30.21540000000001,44.17260000000001,50.0536,PAMHIW
205.2526,415.6130000000001,658.8194000000001,795.449,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000003,30.21540000000001,44.17260000000001,50.0536,PAMHIW
205.2526,415.61300000000006,658.8194,795.4489999999998,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.215400000000006,44.17260000000001,50.05360000000002,PAMHIW
205.2526,415.61300000000006,658.8194,795.449,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.215400000000013,44.17260000000002,50.05360000000002,PAMHIW
205.25259999999997,415.6130000000001,658.8194000000001,795.4490000000001,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.215400000000006,44.172599999999996,50.05360000000001,PAMHIW
205.2526,415.61300000000006,658.8194000000002,795.449,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.21540000000001,44.17260000000001,50.05360000000001,PAMHIW
205.25260000000003,415.6130000000002,658.8194,795.4489999999998,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000003,30.21540000000001,44.17260000000002,50.053599999999996,PAMHIW
205.2526,415.6130000000001,658.8193999999999,795.4489999999998,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.215400000000013,44.17260000000002,50.05360000000001,PAMHIW
205.25259999999997,415.61299999999994,658.8194,795.4489999999998,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.215400000000006,44.17260000000001,50.05360000000001,PAMHIW
205.2526,415.61300000000006,658.8193999999999,795.449,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.21540000000001,44.17260000000002,50.05360000000002,PAMHIW
205.25259999999997,415.6130000000001,658.8194,795.449,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000003,30.21540000000001,44.17260000000001,50.05360000000001,PAMHIW
205.2526,415.613,658.8194,795.449,868.0,1778.0,2534.0,2594.0,30.0,62.0,98.0,124.0,160.0,394.0,550.0,596.0,12.926200000000001,30.215400000000006,44.1726,50.053599999999996,PAMHIW
