lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,15.504,28.880000000000003,22.936799999999998,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000004,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.764175,2.669575,41.425,130.241307,202.9331535,299.67402975,0.0,1.3550000000000002,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.164220000000002,PAPPED_clean_primitive
9.2416,15.504,28.880000000000003,22.936799999999998,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000004,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.7641750000000003,2.669575,41.425000000000004,130.241307,202.93315350000003,299.67402975000005,0.0,1.3550000000000004,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.16422,PAPPED_clean_primitive
9.2416,15.504,28.880000000000003,22.9368,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000004,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.7641750000000003,2.669575,41.425000000000004,130.241307,202.93315350000003,299.67402975000005,0.0,1.3550000000000004,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.16422,PAPPED_clean_primitive
9.2416,15.504,28.880000000000003,22.9368,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000004,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.764175,2.669575,41.425,130.241307,202.9331535,299.67402975000005,0.0,1.3550000000000002,1.3900000000000001,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.164220000000002,PAPPED_clean_primitive
9.2416,15.504,28.88,22.9368,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000001,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.7641750000000003,2.669575,41.425000000000004,130.241307,202.93315350000003,299.67402975000005,0.0,1.3550000000000004,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.16422,PAPPED_clean_primitive
9.2416,15.504,28.880000000000003,22.936799999999998,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000004,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.7641750000000003,2.669575,41.425000000000004,130.241307,202.93315350000003,299.67402975000005,0.0,1.3550000000000004,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.16422,PAPPED_clean_primitive
9.2416,15.504,28.880000000000003,22.9368,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000004,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.764175,2.669575,41.425,130.241307,202.9331535,299.67402975000005,0.0,1.3550000000000002,1.3900000000000001,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.164220000000002,PAPPED_clean_primitive
9.2416,15.504,28.88,22.9368,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000001,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.7641750000000003,2.669575,41.425000000000004,130.241307,202.93315350000003,299.67402975000005,0.0,1.3550000000000004,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.16422,PAPPED_clean_primitive
9.2416,15.504,28.880000000000003,22.936799999999998,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000004,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.764175,2.669575,41.425,130.241307,202.9331535,299.67402975,0.0,1.3550000000000002,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.164220000000002,PAPPED_clean_primitive
9.2416,15.504,28.88,22.9368,49.0,84.0,98.0,94.5,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.425,54.760000000000005,167.24,233.94522800000001,186.16261400000002,0.0,0.9800000000000004,2.66,1.5750000000000002,0.0,2.0,14.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.35,0.0,-7.800000000000001,-2.01422,-2.95711,10.5376,15.482,28.1436,46.851,56.5,69.5,144.75,192.0,1.0,2.0,3.25,5.75,5.0,12.75,20.5,29.0,0.5477,0.9973000000000001,1.7641750000000003,2.669575,41.425000000000004,130.241307,202.93315350000003,299.67402975000005,0.0,1.3550000000000004,1.3900000000000003,3.705,0.0,5.0,4.0,16.5,0.0,0.0,0.0,0.0,0.0,-0.25,-1.25,-0.75,0.0,0.14999999999999997,0.04499999999999996,0.6699999999999999,0.0,-5.453555000000001,-8.126777500000001,-8.16422,PAPPED_clean_primitive
