lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,12.8828,22.675599999999996,23.948399999999996,56.5,69.5,122.5,129.0,1.0,1.5,2.5,2.5,2.5,6.5,10.0,7.5,0.5477,0.8510500000000001,1.40625,1.39105,41.425,99.13499999999999,154.99,130.58499999999998,0.0,0.6900000000000002,0.9350000000000003,0.4900000000000002,0.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,-0.040000000000000036,-0.020000000000000018,0.0,-4.950000000000001,-6.900000000000001,-3.9000000000000004,10.9696,12.009066666666664,18.905066666666663,17.98773333333333,59.0,64.66666666666667,102.66666666666667,97.33333333333333,1.0,1.3333333333333333,2.0,2.0,2.0,4.666666666666667,6.666666666666667,7.333333333333333,0.5427666666666666,0.7497333333333334,1.115,1.1247333333333331,36.980000000000004,76.43333333333334,114.40000000000002,121.82000000000001,0.0,0.5933333333333334,0.9200000000000003,1.1866666666666668,0.0,1.3333333333333333,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-2.0,-2.6666666666666665,0.0,-0.02666666666666669,-0.040000000000000036,-0.05333333333333338,0.0,-4.000000000000001,-6.6000000000000005,-8.000000000000002,PEJMOI_clean_primitive
10.9696,11.512533333333332,21.985599999999994,22.375466666666668,59.0,62.333333333333336,119.0,120.66666666666667,1.0,1.3333333333333333,2.3333333333333335,2.3333333333333335,2.0,5.333333333333333,8.0,6.666666666666667,0.5427666666666666,0.7547333333333334,1.3025,1.297233333333333,36.98,86.05333333333333,132.65333333333334,120.09333333333332,0.0,0.7566666666666668,0.9200000000000003,0.7566666666666668,0.0,1.6666666666666667,2.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.0,-1.6666666666666667,0.0,-0.03333333333333336,-0.040000000000000036,-0.03333333333333336,0.0,-5.300000000000001,-6.6000000000000005,-5.300000000000002,9.2416,18.4832,15.504,15.504,49.0,98.0,84.0,84.0,1.0,2.0,2.0,2.0,4.0,8.0,12.0,12.0,0.5625,1.125,1.155,1.155,54.760000000000005,109.52000000000001,167.24,167.24,0.0,0.0,0.9800000000000004,0.9800000000000004,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,0.0,0.0,-7.800000000000001,-7.800000000000001,PEJMOI_clean_primitive
10.9696,11.512533333333332,21.985599999999994,22.375466666666668,59.0,62.333333333333336,119.0,120.66666666666667,1.0,1.3333333333333333,2.3333333333333335,2.3333333333333335,2.0,5.333333333333333,8.0,6.666666666666667,0.5427666666666666,0.7547333333333334,1.3025,1.297233333333333,36.98,86.05333333333333,132.65333333333334,120.09333333333332,0.0,0.7566666666666668,0.9200000000000003,0.7566666666666668,0.0,1.6666666666666667,2.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-2.0,-1.6666666666666667,0.0,-0.03333333333333336,-0.040000000000000036,-0.03333333333333336,0.0,-5.300000000000001,-6.6000000000000005,-5.300000000000002,9.2416,18.4832,15.504,15.504,49.0,98.0,84.0,84.0,1.0,2.0,2.0,2.0,4.0,8.0,12.0,12.0,0.5625,1.125,1.155,1.155,54.760000000000005,109.52000000000001,167.24,167.24,0.0,0.0,0.9800000000000004,0.9800000000000004,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,0.0,0.0,-7.800000000000001,-7.800000000000001,PEJMOI_clean_primitive
10.5376,12.8828,22.675599999999996,23.948399999999996,56.5,69.5,122.5,129.0,1.0,1.5,2.5,2.5,2.5,6.5,10.0,7.5,0.5477,0.8510500000000001,1.40625,1.39105,41.425,99.13499999999999,154.99,130.58499999999998,0.0,0.6900000000000002,0.9350000000000003,0.4900000000000002,0.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,-0.040000000000000036,-0.020000000000000018,0.0,-4.950000000000001,-6.900000000000001,-3.9000000000000004,10.9696,12.009066666666664,18.905066666666663,17.98773333333333,59.0,64.66666666666667,102.66666666666667,97.33333333333333,1.0,1.3333333333333333,2.0,2.0,2.0,4.666666666666667,6.666666666666667,7.333333333333333,0.5427666666666666,0.7497333333333334,1.115,1.1247333333333334,36.98,76.43333333333334,114.40000000000002,121.82000000000001,0.0,0.5933333333333334,0.9200000000000003,1.1866666666666668,0.0,1.3333333333333333,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-2.0,-2.6666666666666665,0.0,-0.02666666666666669,-0.040000000000000036,-0.05333333333333338,0.0,-4.000000000000001,-6.600000000000001,-8.000000000000002,PEJMOI_clean_primitive
10.2784,14.00288,21.241279999999996,22.25952,55.0,75.2,114.8,120.0,1.0,1.6,2.4,2.4,2.8,6.8,10.4,8.4,0.5506599999999999,0.9058400000000001,1.356,1.3438399999999997,44.092000000000006,101.21199999999999,157.44,137.916,0.0,0.5520000000000002,0.9440000000000003,0.5880000000000003,0.0,1.2,2.0,1.2,0.0,0.0,0.0,0.0,0.0,-1.2,-2.0,-1.2,0.0,-0.02400000000000002,-0.040000000000000036,-0.02400000000000002,0.0,-3.960000000000001,-7.080000000000001,-4.680000000000001,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,PEJMOI_clean_primitive
10.2784,14.00288,21.241279999999996,22.25952,55.0,75.2,114.8,120.0,1.0,1.6,2.4,2.4,2.8,6.8,10.4,8.4,0.5506599999999999,0.9058400000000001,1.356,1.3438399999999997,44.092000000000006,101.21199999999999,157.44,137.916,0.0,0.5520000000000002,0.9440000000000003,0.5880000000000003,0.0,1.2,2.0,1.2,0.0,0.0,0.0,0.0,0.0,-1.2,-2.0,-1.2,0.0,-0.02400000000000002,-0.040000000000000036,-0.02400000000000002,0.0,-3.960000000000001,-7.080000000000001,-4.680000000000001,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,PEJMOI_clean_primitive
10.2784,14.00288,21.241279999999996,22.25952,55.0,75.2,114.8,120.0,1.0,1.6,2.4,2.4,2.8,6.8,10.4,8.4,0.5506599999999999,0.9058400000000001,1.356,1.34384,44.092000000000006,101.21199999999999,157.44,137.916,0.0,0.5520000000000002,0.9440000000000003,0.5880000000000003,0.0,1.2,2.0,1.2,0.0,0.0,0.0,0.0,0.0,-1.2,-2.0,-1.2,0.0,-0.02400000000000002,-0.040000000000000036,-0.02400000000000002,0.0,-3.960000000000001,-7.080000000000001,-4.680000000000001,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,PEJMOI_clean_primitive
10.2784,14.00288,21.241279999999996,22.25952,55.0,75.2,114.8,120.0,1.0,1.6,2.4,2.4,2.8,6.8,10.4,8.4,0.5506599999999999,0.9058400000000001,1.356,1.3438399999999997,44.092000000000006,101.21199999999999,157.44,137.916,0.0,0.5520000000000002,0.9440000000000003,0.5880000000000003,0.0,1.2,2.0,1.2,0.0,0.0,0.0,0.0,0.0,-1.2,-2.0,-1.2,0.0,-0.02400000000000002,-0.040000000000000036,-0.02400000000000002,0.0,-3.960000000000001,-7.080000000000001,-4.680000000000001,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,PEJMOI_clean_primitive
10.5376,12.8828,22.6756,23.9484,56.5,69.5,122.5,129.0,1.0,1.5,2.5,2.5,2.5,6.5,10.0,7.5,0.5477,0.8510500000000001,1.40625,1.39105,41.425000000000004,99.13499999999999,154.99,130.585,0.0,0.6900000000000002,0.9350000000000003,0.4900000000000002,0.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,-0.040000000000000036,-0.020000000000000018,0.0,-4.95,-6.9,-3.9000000000000004,10.9696,12.009066666666664,18.905066666666663,17.98773333333333,59.0,64.66666666666667,102.66666666666667,97.33333333333333,1.0,1.3333333333333333,2.0,2.0,2.0,4.666666666666667,6.666666666666667,7.333333333333333,0.5427666666666666,0.7497333333333334,1.115,1.1247333333333331,36.980000000000004,76.43333333333334,114.40000000000002,121.82000000000001,0.0,0.5933333333333334,0.9200000000000003,1.1866666666666668,0.0,1.3333333333333333,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-2.0,-2.6666666666666665,0.0,-0.02666666666666669,-0.040000000000000036,-0.05333333333333338,0.0,-4.000000000000001,-6.6000000000000005,-8.000000000000002,PEJMOI_clean_primitive
10.2784,14.00288,21.241279999999996,22.25952,55.0,75.2,114.8,120.0,1.0,1.6,2.4,2.4,2.8,6.8,10.4,8.4,0.5506599999999999,0.9058400000000001,1.356,1.3438400000000001,44.092,101.21199999999999,157.44,137.916,0.0,0.5520000000000002,0.9440000000000003,0.5880000000000003,0.0,1.2,2.0,1.2,0.0,0.0,0.0,0.0,0.0,-1.2,-2.0,-1.2,0.0,-0.02400000000000002,-0.040000000000000036,-0.02400000000000002,0.0,-3.960000000000001,-7.080000000000001,-4.680000000000001,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,PEJMOI_clean_primitive
