f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
148.8841,289.27199999999993,482.5175999999999,484.54100000000005,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.081100000000001,20.759200000000003,31.134400000000007,32.3828,PEYPAM_SL_primitive
148.8841,289.2719999999999,482.51759999999985,484.5409999999999,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.759200000000007,31.134399999999992,32.3828,PEYPAM_SL_primitive
148.8841,289.27199999999993,482.5175999999999,484.54099999999994,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.759200000000007,31.1344,32.3828,PEYPAM_SL_primitive
148.8841,289.2719999999999,482.51759999999985,484.5409999999999,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.759200000000007,31.134399999999996,32.382799999999996,PEYPAM_SL_primitive
148.8841,289.27199999999993,482.5175999999999,484.54099999999994,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.759200000000003,31.1344,32.382799999999996,PEYPAM_SL_primitive
148.8841,289.27199999999993,482.5175999999999,484.541,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.759200000000003,31.1344,32.382799999999996,PEYPAM_SL_primitive
148.8841,289.2719999999999,482.51759999999985,484.5409999999998,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.7592,31.134400000000003,32.382799999999996,PEYPAM_SL_primitive
148.88410000000002,289.272,482.5175999999999,484.541,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.081100000000003,20.759200000000003,31.134400000000007,32.3828,PEYPAM_SL_primitive
148.88410000000002,289.272,482.51759999999996,484.5410000000001,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.081100000000003,20.759200000000003,31.134400000000007,32.3828,PEYPAM_SL_primitive
148.8841,289.272,482.5175999999999,484.541,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.081100000000003,20.759200000000003,31.134400000000003,32.3828,PEYPAM_SL_primitive
148.8841,289.272,482.51759999999996,484.54100000000005,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.081100000000003,20.759200000000003,31.1344,32.3828,PEYPAM_SL_primitive
148.8841,289.27199999999993,482.5175999999999,484.54099999999994,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.7592,31.134400000000003,32.38280000000001,PEYPAM_SL_primitive
148.8841,289.272,482.51759999999996,484.541,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.7592,31.134400000000007,32.3828,PEYPAM_SL_primitive
148.8841,289.272,482.51759999999996,484.54100000000005,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.7592,31.134400000000003,32.3828,PEYPAM_SL_primitive
148.8841,289.272,482.51759999999996,484.541,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.081100000000001,20.7592,31.134400000000003,32.382799999999996,PEYPAM_SL_primitive
148.8841,289.272,482.51759999999996,484.54099999999994,712.0,1392.0,2130.0,2114.0,19.0,40.0,64.0,68.0,104.0,252.0,354.0,356.0,9.0811,20.7592,31.134400000000003,32.3828,PEYPAM_SL_primitive
