lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
9.2416,16.2488,28.355599999999995,33.0828,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.1337500000000005,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.6746,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000005,1.3556250000000003,54.76,131.165,194.81157675000003,171.23065350000002,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.97588875,-4.6392774999999995,QARBOC
9.2416,16.2488,28.355599999999995,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.1337500000000005,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.6746,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000002,1.355625,54.76,131.16500000000002,194.81157675000003,171.23065350000002,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.9250000000000003,-5.97588875,-4.6392775,QARBOC
9.2416,16.2488,28.355599999999995,33.0828,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.1337500000000005,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.6746,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000005,1.3556250000000003,54.76,131.165,194.81157675000003,171.23065350000002,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.97588875,-4.6392774999999995,QARBOC
9.2416,16.2488,28.355599999999995,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.1337500000000005,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.6746,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000002,1.355625,54.76,131.16500000000002,194.81157675000003,171.23065350000002,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.9250000000000003,-5.97588875,-4.6392775,QARBOC
9.2416,16.2488,28.355600000000003,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.13375,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.6746,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000005,1.3556250000000003,54.76,131.165,194.81157675000003,171.23065350000002,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.975888749999999,-4.6392774999999995,QARBOC
9.2416,16.2488,28.355600000000003,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.93125,2.13375,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.674600000000005,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000002,1.3556250000000003,54.76,131.16500000000002,194.81157675000003,171.23065349999996,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.97588875,-4.6392774999999995,QARBOC
9.2416,16.2488,28.355600000000003,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.13375,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.6746,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000005,1.3556250000000003,54.76,131.165,194.81157675000003,171.23065350000002,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.975888749999999,-4.6392774999999995,QARBOC
9.2416,16.2488,28.355599999999995,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.13375,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.674600000000005,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000002,1.3556250000000003,54.76,131.16500000000002,194.81157675000003,171.23065349999996,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.97588875,-4.6392774999999995,QARBOC
9.2416,16.2488,28.355600000000003,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.13375,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.6746,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000005,1.3556250000000003,54.76,131.165,194.81157675000003,171.23065350000002,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.975888749999999,-4.6392774999999995,QARBOC
9.2416,16.2488,28.355599999999995,33.082800000000006,49.0,87.5,145.25,162.75,1.0,2.0,3.5,4.0,4.0,11.0,18.0,18.5,0.5625,1.1475,1.9312500000000004,2.13375,54.760000000000005,152.81,251.2431535,258.84130700000003,0.0,0.7350000000000003,1.3125000000000004,1.2775000000000003,0.0,1.5,3.75,4.75,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.25,0.0,-0.030000000000000027,0.04999999999999996,0.15499999999999997,0.0,-5.85,-8.0517775,-5.378555,9.2416,17.366,22.674600000000005,20.4174,49.0,92.75,118.125,102.375,1.0,2.0,2.75,2.5,4.0,9.5,14.0,12.25,0.5625,1.13625,1.5356250000000002,1.3556250000000003,54.76,131.16500000000002,194.81157675000003,171.23065349999996,0.0,0.36750000000000016,0.9012500000000003,0.8837500000000003,0.0,0.75,2.375,2.875,0.0,0.0,0.0,0.0,0.0,-0.75,-1.5,-1.125,0.0,-0.015000000000000013,0.014999999999999972,0.06749999999999998,0.0,-2.925,-5.97588875,-4.6392774999999995,QARBOC
