f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
188.92299999999997,377.094,588.2914000000001,716.262,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.0603,27.904800000000005,40.40060000000001,44.74360000000001,QIFLUO
188.92299999999997,377.09400000000005,588.2914000000002,716.2619999999998,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000003,27.90480000000001,40.40060000000001,44.74360000000001,QIFLUO
64.4914,133.9752,176.8178,112.08720000000001,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.5192,5.6248,QIFLUO
64.4914,133.97520000000003,176.8178,112.08720000000001,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.519200000000001,5.6248,QIFLUO
188.92299999999997,377.09400000000005,588.2914,716.2620000000001,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000002,27.90480000000001,40.40060000000001,44.743599999999994,QIFLUO
64.4914,133.97520000000003,176.8178,112.08720000000002,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.5192,5.6248,QIFLUO
64.4914,133.9752,176.8178,112.08720000000001,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.519199999999998,5.6248000000000005,QIFLUO
188.923,377.094,588.2913999999998,716.2619999999998,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.0603,27.90480000000001,40.40060000000001,44.74360000000001,QIFLUO
64.4914,133.97520000000003,176.8178,112.08720000000002,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.5192,5.6248,QIFLUO
64.4914,133.9752,176.8178,112.08720000000001,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.519199999999998,5.6248000000000005,QIFLUO
64.4914,133.9752,176.8178,112.08720000000001,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.5192,5.6248,QIFLUO
64.4914,133.97520000000003,176.8178,112.08720000000001,271.0,558.0,686.0,264.0,9.0,18.0,24.0,16.0,42.0,92.0,104.0,56.0,3.8465,8.5798,10.519200000000001,5.6248,QIFLUO
