f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
144.0441,255.96899999999994,399.6455999999999,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.00020000000001,QITHEG
144.0441,255.969,399.6455999999999,462.21299999999997,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.1268,27.591000000000005,31.000200000000007,QITHEG
144.0441,255.969,399.64559999999994,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000003,27.591000000000005,31.000200000000007,QITHEG
144.04410000000001,255.96899999999994,399.6455999999999,462.21299999999997,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.000200000000003,QITHEG
122.27720000000004,289.2629999999999,534.4700000000001,723.0041999999999,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999997,15.425799999999995,24.509999999999998,28.2762,QITHEG
122.27720000000004,289.2629999999999,534.4700000000001,723.0041999999999,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999997,15.425799999999995,24.509999999999998,28.2762,QITHEG
122.27720000000005,289.2629999999999,534.4700000000001,723.0042000000001,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999997,15.425799999999997,24.509999999999994,28.276200000000003,QITHEG
122.27720000000005,289.2629999999999,534.4700000000001,723.0042000000001,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999997,15.425799999999997,24.509999999999994,28.276200000000003,QITHEG
122.27720000000002,289.263,534.4700000000001,723.0042,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999999,24.509999999999998,28.276199999999996,QITHEG
122.27720000000002,289.263,534.4700000000001,723.0042,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999999,24.509999999999998,28.276199999999996,QITHEG
144.0441,255.96899999999994,399.64559999999994,462.21299999999985,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000003,27.591,31.000200000000007,QITHEG
144.0441,255.96899999999994,399.6455999999999,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000003,27.591,31.000200000000007,QITHEG
144.0441,255.96900000000002,399.64559999999994,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944200000000002,19.126800000000006,27.591000000000005,31.000200000000007,QITHEG
144.0441,255.969,399.6455999999999,462.21299999999997,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000003,27.591,31.000200000000007,QITHEG
122.27720000000004,289.263,534.47,723.0041999999997,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999999,15.4258,24.509999999999998,28.276200000000003,QITHEG
122.27720000000004,289.263,534.47,723.0041999999997,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999999,15.4258,24.509999999999998,28.276200000000003,QITHEG
122.27720000000004,289.263,534.4700000000001,723.0041999999999,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999997,15.4258,24.51,28.2762,QITHEG
122.27720000000004,289.2629999999999,534.47,723.0042,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999999,24.51,28.2762,QITHEG
122.27720000000004,289.263,534.47,723.0041999999999,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999997,24.509999999999998,28.27620000000001,QITHEG
122.27720000000004,289.263,534.47,723.0041999999999,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999997,24.509999999999998,28.27620000000001,QITHEG
144.0441,255.96899999999994,399.64559999999994,462.21299999999997,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,QITHEG
144.0441,255.96899999999994,399.64559999999994,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.591,31.000200000000007,QITHEG
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.590999999999998,31.000200000000014,QITHEG
144.0441,255.969,399.6455999999999,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.590999999999998,31.000200000000007,QITHEG
122.27720000000004,289.263,534.47,723.0042,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999999,24.509999999999994,28.276199999999996,QITHEG
122.27720000000004,289.263,534.47,723.0042000000001,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999999,24.509999999999994,28.276199999999996,QITHEG
122.27720000000002,289.263,534.47,723.0042,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999999,24.509999999999998,28.276200000000003,QITHEG
122.27720000000002,289.263,534.47,723.0042,287.0,588.0,854.0,852.0,21.0,50.0,92.0,122.0,172.0,518.0,628.0,604.0,5.490899999999998,15.425799999999999,24.509999999999998,28.276200000000003,QITHEG
