f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
116.6135,212.874,324.5333999999999,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798000000000002,22.8814,RARYOZ
116.6135,212.874,324.5334,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798000000000002,22.8814,RARYOZ
116.6135,212.874,324.5334,356.18839999999994,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798000000000002,22.8814,RARYOZ
116.6135,212.874,324.5334,356.18839999999994,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798,22.8814,RARYOZ
116.6135,212.874,324.53340000000003,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000004,21.798000000000002,22.881399999999996,RARYOZ
116.6135,212.87400000000002,324.5334,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000004,21.798000000000002,22.8814,RARYOZ
116.6135,212.874,324.5334,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000004,21.798000000000002,22.881400000000003,RARYOZ
116.6135,212.87400000000002,324.5334,356.18840000000006,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000004,21.798000000000002,22.8814,RARYOZ
116.61350000000002,212.87399999999997,324.5334,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000002,21.798000000000005,22.881400000000003,RARYOZ
116.61350000000002,212.87399999999994,324.53340000000003,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.255099999999999,15.631000000000002,21.798000000000002,22.881400000000003,RARYOZ
116.6135,212.87400000000002,324.53340000000003,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798000000000002,22.881400000000006,RARYOZ
116.6135,212.874,324.5334000000001,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000002,21.798000000000005,22.8814,RARYOZ
116.6135,212.874,324.5334,356.18839999999994,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798,22.881400000000003,RARYOZ
116.6135,212.87399999999997,324.5334,356.18839999999994,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798000000000002,22.8814,RARYOZ
116.6135,212.87399999999997,324.5333999999999,356.18839999999994,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000002,21.798000000000002,22.8814,RARYOZ
116.6135,212.87399999999997,324.5333999999999,356.18839999999994,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000002,21.798000000000002,22.8814,RARYOZ
116.6135,212.874,324.5334,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000004,21.798,22.8814,RARYOZ
116.6135,212.874,324.5334,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631000000000002,21.798,22.8814,RARYOZ
116.6135,212.87399999999997,324.5333999999999,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798000000000002,22.881399999999996,RARYOZ
116.6135,212.87399999999997,324.5333999999999,356.1884,560.0,1020.0,1470.0,1490.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,220.0,7.2551,15.631,21.798000000000002,22.881400000000003,RARYOZ
