f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
147.4137,326.13640000000004,485.18780000000004,453.88620000000003,672.0,1528.0,2114.0,1740.0,21.0,46.0,68.0,66.0,114.0,274.0,368.0,312.0,9.9581,23.763800000000003,33.469200000000015,29.025400000000005,RAYFEE_clean_primitive
147.4137,326.13640000000004,485.1878000000001,453.8862000000001,672.0,1528.0,2114.0,1740.0,21.0,46.0,68.0,66.0,114.0,274.0,368.0,312.0,9.958100000000002,23.763800000000007,33.46920000000001,29.0254,RAYFEE_clean_primitive
147.4137,326.13640000000004,485.1878000000001,453.8862000000001,672.0,1528.0,2114.0,1740.0,21.0,46.0,68.0,66.0,114.0,274.0,368.0,312.0,9.9581,23.763800000000007,33.469200000000015,29.025400000000005,RAYFEE_clean_primitive
147.4137,326.13640000000004,485.18780000000015,453.8862000000001,672.0,1528.0,2114.0,1740.0,21.0,46.0,68.0,66.0,114.0,274.0,368.0,312.0,9.958100000000002,23.763800000000003,33.4692,29.0254,RAYFEE_clean_primitive
147.4137,326.1364000000001,485.18780000000015,453.8862000000001,672.0,1528.0,2114.0,1740.0,21.0,46.0,68.0,66.0,114.0,274.0,368.0,312.0,9.958100000000002,23.763800000000003,33.46920000000001,29.0254,RAYFEE_clean_primitive
147.4137,326.13640000000004,485.18780000000015,453.88620000000014,672.0,1528.0,2114.0,1740.0,21.0,46.0,68.0,66.0,114.0,274.0,368.0,312.0,9.958100000000002,23.763800000000003,33.46920000000001,29.0254,RAYFEE_clean_primitive
53.99079999999999,71.0016,142.0032,0.0,512.0,1024.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.1719999999999997,5.9568,6.394799999999999,0.0,RAYFEE_clean_primitive
53.99079999999999,71.0016,142.0032,0.0,512.0,1024.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.1719999999999997,5.9568,6.394799999999999,0.0,RAYFEE_clean_primitive
53.99079999999999,71.0016,142.0032,0.0,512.0,1024.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.1719999999999997,5.9568,6.394799999999999,0.0,RAYFEE_clean_primitive
53.99079999999999,71.0016,142.0032,0.0,512.0,1024.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.1719999999999997,5.9568,6.394799999999999,0.0,RAYFEE_clean_primitive
53.99079999999999,71.0016,142.0032,0.0,512.0,1024.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.1719999999999997,5.9568,6.394799999999999,0.0,RAYFEE_clean_primitive
53.99079999999999,71.0016,142.0032,0.0,512.0,1024.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.1719999999999997,5.9568,6.394799999999999,0.0,RAYFEE_clean_primitive
