RIPWIY_clean_primitive, Anchors list: {232, 287}, SBU connectlist: {18, 12}
RIPWIY_clean_primitive, Anchors list: {11, 285}, SBU connectlist: {12, 7}
RIPWIY_clean_primitive, Anchors list: {289, 233}, SBU connectlist: {19, 12}
RIPWIY_clean_primitive, Anchors list: {288, 232}, SBU connectlist: {18, 13}
RIPWIY_clean_primitive, Anchors list: {229, 271}, SBU connectlist: {17, 12}
RIPWIY_clean_primitive, Anchors list: {228, 270}, SBU connectlist: {16, 13}
RIPWIY_clean_primitive, Anchors list: {257, 231}, SBU connectlist: {21, 13}
RIPWIY_clean_primitive, Anchors list: {256, 230}, SBU connectlist: {12, 20}
RIPWIY_clean_primitive, Anchors list: {259, 7}, SBU connectlist: {3, 13}
RIPWIY_clean_primitive, Anchors list: {9, 269}, SBU connectlist: {12, 5}
RIPWIY_clean_primitive, Anchors list: {258, 6}, SBU connectlist: {2, 12}
RIPWIY_clean_primitive, Anchors list: {8, 268}, SBU connectlist: {4, 13}
RIPWIY_clean_primitive, Anchors list: {10, 284}, SBU connectlist: {13, 6}
RIPWIY_clean_primitive, Anchors list: {233, 286}, SBU connectlist: {19, 13}
RIPWIY_clean_primitive, Anchors list: {228, 253}, SBU connectlist: {16, 13}
RIPWIY_clean_primitive, Anchors list: {252, 229}, SBU connectlist: {17, 12}
RIPWIY_clean_primitive, Anchors list: {249, 229}, SBU connectlist: {17, 13}
RIPWIY_clean_primitive, Anchors list: {248, 228}, SBU connectlist: {16, 12}
RIPWIY_clean_primitive, Anchors list: {233, 4}, SBU connectlist: {0, 19}
RIPWIY_clean_primitive, Anchors list: {232, 5}, SBU connectlist: {1, 18}
RIPWIY_clean_primitive, Anchors list: {227, 239}, SBU connectlist: {13, 15}
RIPWIY_clean_primitive, Anchors list: {226, 238}, SBU connectlist: {12, 14}
RIPWIY_clean_primitive, Anchors list: {243, 5}, SBU connectlist: {1, 13}
RIPWIY_clean_primitive, Anchors list: {242, 4}, SBU connectlist: {0, 12}
RIPWIY_clean_primitive, Anchors list: {240, 227}, SBU connectlist: {12, 15}
RIPWIY_clean_primitive, Anchors list: {231, 279}, SBU connectlist: {12, 21}
RIPWIY_clean_primitive, Anchors list: {278, 230}, SBU connectlist: {20, 13}
RIPWIY_clean_primitive, Anchors list: {275, 230}, SBU connectlist: {12, 20}
RIPWIY_clean_primitive, Anchors list: {274, 231}, SBU connectlist: {21, 13}
RIPWIY_clean_primitive, Anchors list: {241, 226}, SBU connectlist: {13, 14}
RIPWIY_clean_primitive, Anchors list: {10, 227}, SBU connectlist: {6, 15}
RIPWIY_clean_primitive, Anchors list: {226, 11}, SBU connectlist: {14, 7}
