f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
163.8513,294.51859999999994,481.7079999999999,558.309,966.0,1928.0,2506.0,2460.0,21.0,42.0,64.0,80.0,106.0,256.0,348.0,376.0,10.2816,23.048200000000005,33.0942,37.3312,RIYWED_clean_primitive
168.6913,309.65459999999996,492.92799999999994,584.6650000000001,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.4185,23.5884,33.66400000000001,38.4412,RIYWED_clean_primitive
168.6913,309.65459999999996,492.92799999999994,584.6650000000001,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.4185,23.5884,33.66400000000001,38.4412,RIYWED_clean_primitive
168.6913,309.65459999999996,492.92799999999994,584.665,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.4185,23.5884,33.664,38.441199999999995,RIYWED_clean_primitive
168.6913,309.65459999999996,492.9279999999998,584.665,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.418499999999998,23.588400000000004,33.66400000000001,38.44120000000001,RIYWED_clean_primitive
163.8513,294.5186,481.70799999999986,558.3089999999999,966.0,1928.0,2506.0,2460.0,21.0,42.0,64.0,80.0,106.0,256.0,348.0,376.0,10.2816,23.048200000000005,33.0942,37.33120000000002,RIYWED_clean_primitive
163.85129999999998,294.5186,481.70799999999986,558.309,966.0,1928.0,2506.0,2460.0,21.0,42.0,64.0,80.0,106.0,256.0,348.0,376.0,10.2816,23.048200000000005,33.0942,37.33120000000001,RIYWED_clean_primitive
168.69129999999998,309.6546,492.92799999999994,584.665,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.418499999999998,23.588400000000007,33.664,38.44120000000001,RIYWED_clean_primitive
168.69129999999998,309.6546,492.928,584.665,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.418499999999998,23.588400000000004,33.664,38.44120000000001,RIYWED_clean_primitive
168.69129999999998,309.65459999999996,492.928,584.6649999999998,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.418500000000002,23.588400000000004,33.663999999999994,38.44120000000001,RIYWED_clean_primitive
168.69129999999998,309.65459999999996,492.928,584.6649999999998,967.0,1944.0,2518.0,2488.0,22.0,44.0,66.0,84.0,110.0,266.0,362.0,396.0,10.418500000000002,23.588400000000004,33.663999999999994,38.44120000000001,RIYWED_clean_primitive
163.85129999999998,294.5186,481.70799999999997,558.309,966.0,1928.0,2506.0,2460.0,21.0,42.0,64.0,80.0,106.0,256.0,348.0,376.0,10.281600000000005,23.048200000000005,33.0942,37.3312,RIYWED_clean_primitive
