f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
98.08050000000001,214.738,317.60580000000004,284.0596,429.0,952.0,1338.0,1126.0,14.0,30.0,44.0,40.0,74.0,174.0,234.0,204.0,6.324600000000001,15.016199999999998,20.992400000000004,18.3604,RUGKOV_clean_primitive
98.0805,214.73800000000003,317.6058,284.0596,429.0,952.0,1338.0,1126.0,14.0,30.0,44.0,40.0,74.0,174.0,234.0,204.0,6.3246,15.016199999999998,20.992400000000004,18.360400000000002,RUGKOV_clean_primitive
77.84039999999999,146.0342,208.9782,172.81599999999997,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.3804,13.7412,10.196,RUGKOV_clean_primitive
77.8404,146.0342,208.9782,172.816,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.3804,13.7412,10.196,RUGKOV_clean_primitive
77.8404,146.0342,208.9782,172.81599999999997,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.3804,13.741200000000001,10.196,RUGKOV_clean_primitive
77.8404,146.03419999999997,208.97820000000002,172.81599999999997,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.380400000000002,13.741200000000001,10.196000000000002,RUGKOV_clean_primitive
98.0805,214.738,317.60580000000004,284.0596,429.0,952.0,1338.0,1126.0,14.0,30.0,44.0,40.0,74.0,174.0,234.0,204.0,6.324599999999999,15.0162,20.992400000000004,18.3604,RUGKOV_clean_primitive
98.08050000000001,214.73799999999997,317.60579999999993,284.05960000000005,429.0,952.0,1338.0,1126.0,14.0,30.0,44.0,40.0,74.0,174.0,234.0,204.0,6.324599999999999,15.016199999999998,20.992400000000004,18.360400000000002,RUGKOV_clean_primitive
77.8404,146.0342,208.9782,172.81600000000003,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.380400000000002,13.741200000000003,10.196000000000003,RUGKOV_clean_primitive
77.8404,146.0342,208.97820000000002,172.81599999999997,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.380400000000002,13.7412,10.196000000000002,RUGKOV_clean_primitive
77.8404,146.0342,208.97820000000002,172.81599999999997,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.380400000000002,13.7412,10.196000000000002,RUGKOV_clean_primitive
77.8404,146.0342,208.97820000000002,172.81599999999997,372.0,698.0,924.0,628.0,10.0,20.0,28.0,24.0,48.0,110.0,136.0,80.0,4.8362,10.380400000000002,13.7412,10.196000000000002,RUGKOV_clean_primitive
