SETPEO_clean_primitive, Anchors list: {3}, SBU connectlist: {3}
SETPEO_clean_primitive, Anchors list: {2}, SBU connectlist: {2}
SETPEO_clean_primitive, Anchors list: {2}, SBU connectlist: {2}
SETPEO_clean_primitive, Anchors list: {1}, SBU connectlist: {1}
SETPEO_clean_primitive, Anchors list: {3}, SBU connectlist: {3}
SETPEO_clean_primitive, Anchors list: {1}, SBU connectlist: {1}
SETPEO_clean_primitive, Anchors list: {0}, SBU connectlist: {0}
SETPEO_clean_primitive, Anchors list: {5}, SBU connectlist: {5}
SETPEO_clean_primitive, Anchors list: {5}, SBU connectlist: {5}
SETPEO_clean_primitive, Anchors list: {4}, SBU connectlist: {4}
SETPEO_clean_primitive, Anchors list: {5}, SBU connectlist: {5}
SETPEO_clean_primitive, Anchors list: {4}, SBU connectlist: {4}
SETPEO_clean_primitive, Anchors list: {3}, SBU connectlist: {3}
SETPEO_clean_primitive, Anchors list: {4}, SBU connectlist: {4}
SETPEO_clean_primitive, Anchors list: {1}, SBU connectlist: {1}
SETPEO_clean_primitive, Anchors list: {0}, SBU connectlist: {0}
SETPEO_clean_primitive, Anchors list: {0}, SBU connectlist: {0}
SETPEO_clean_primitive, Anchors list: {2}, SBU connectlist: {2}
