f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
144.91320000000002,317.27100000000013,477.11000000000007,548.817,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000002,23.361800000000002,32.55800000000001,33.85,SOCLIH
174.9885,348.78900000000004,544.0004,648.041,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000001,26.210800000000006,38.2304,43.66480000000001,SOCLIH
174.9885,348.78900000000004,544.0004,648.0409999999999,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000001,26.210800000000006,38.2304,43.66480000000001,SOCLIH
174.9885,348.78900000000004,544.0004,648.0409999999998,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000001,26.210800000000006,38.2304,43.66480000000001,SOCLIH
174.9885,348.78900000000004,544.0004,648.0409999999998,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000001,26.210800000000006,38.2304,43.66480000000001,SOCLIH
174.9885,348.78900000000004,544.0004,648.041,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000003,26.210800000000003,38.23040000000001,43.664800000000014,SOCLIH
174.9885,348.78900000000004,544.0004,648.041,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000003,26.210800000000003,38.23040000000001,43.664800000000014,SOCLIH
174.9885,348.789,544.0004,648.0409999999999,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000001,26.210800000000003,38.23040000000001,43.66480000000001,SOCLIH
174.9885,348.789,544.0004,648.0409999999999,780.0,1572.0,2276.0,2408.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,502.0,11.360100000000001,26.210800000000003,38.23040000000001,43.66480000000001,SOCLIH
144.9132,317.27100000000013,477.11000000000024,548.8170000000001,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000004,23.361800000000006,32.55800000000001,33.85000000000001,SOCLIH
144.91320000000002,317.27100000000013,477.11000000000024,548.817,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000002,23.361800000000002,32.558,33.85000000000001,SOCLIH
144.9132,317.27100000000013,477.1100000000001,548.817,540.0,1248.0,1592.0,1434.0,24.0,50.0,76.0,92.0,126.0,306.0,412.0,416.0,9.608800000000002,23.361800000000006,32.55800000000001,33.85,SOCLIH
