f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
122.22820000000002,268.8210000000001,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.149199999999999,19.850600000000004,27.90720000000001,28.971600000000006,TIKMEH_clean_primitive
122.22820000000002,268.8210000000001,406.22000000000014,458.81199999999995,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.149199999999999,19.850600000000004,27.90720000000001,28.971600000000006,TIKMEH_clean_primitive
122.22820000000002,268.8210000000001,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.149199999999999,19.850600000000004,27.90720000000001,28.971600000000013,TIKMEH_clean_primitive
144.0441,255.969,399.6456,462.7029999999999,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.944199999999999,19.126800000000003,27.591000000000005,31.640199999999993,TIKMEH_clean_primitive
122.22820000000002,268.8210000000001,406.22000000000014,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000004,27.907200000000003,28.971600000000013,TIKMEH_clean_primitive
122.22820000000002,268.8210000000001,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000007,27.907200000000007,28.97160000000001,TIKMEH_clean_primitive
144.0441,255.969,399.6456,462.70299999999986,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.9442,19.126800000000003,27.591000000000008,31.640199999999997,TIKMEH_clean_primitive
144.04410000000001,255.96899999999994,399.6456,462.7029999999999,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.9442,19.126800000000006,27.591,31.6402,TIKMEH_clean_primitive
144.0441,255.96899999999994,399.6456,462.7029999999999,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.9442,19.126800000000003,27.591,31.6402,TIKMEH_clean_primitive
144.0441,255.96899999999994,399.64559999999994,462.70299999999986,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.9442,19.126800000000003,27.590999999999998,31.640200000000007,TIKMEH_clean_primitive
144.0441,255.969,399.64559999999994,462.7029999999999,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.9442,19.1268,27.591000000000005,31.6402,TIKMEH_clean_primitive
144.0441,255.96899999999994,399.64559999999994,462.7029999999999,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.9442,19.126800000000003,27.590999999999998,31.640200000000007,TIKMEH_clean_primitive
122.2282,268.82099999999997,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000007,27.907200000000003,28.9716,TIKMEH_clean_primitive
122.2282,268.821,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.149199999999999,19.850600000000004,27.907200000000003,28.9716,TIKMEH_clean_primitive
144.0441,255.969,399.64559999999994,462.7029999999999,711.0,1260.0,1896.0,2044.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,322.0,8.944200000000002,19.126800000000003,27.591000000000005,31.640199999999997,TIKMEH_clean_primitive
122.22819999999999,268.821,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000004,27.907200000000007,28.971600000000002,TIKMEH_clean_primitive
122.2282,268.821,406.2200000000001,458.81200000000007,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000007,27.907200000000003,28.9716,TIKMEH_clean_primitive
