f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
357.7887999999999,722.7720000000005,1165.7708000000005,1523.5639999999999,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.400400000000015,58.458400000000026,90.84200000000001,116.30320000000002,TOVJUL_clean_primitive
357.78879999999987,722.7720000000005,1165.7708000000005,1523.5639999999999,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.400400000000015,58.458400000000026,90.84200000000001,116.30320000000003,TOVJUL_clean_primitive
357.78879999999975,722.7720000000003,1165.7708000000002,1523.5639999999994,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.40040000000001,58.45840000000002,90.84200000000003,116.30320000000005,TOVJUL_clean_primitive
357.7887999999997,722.7720000000003,1165.7708000000002,1523.5639999999996,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.40040000000001,58.45840000000002,90.84200000000001,116.30320000000005,TOVJUL_clean_primitive
357.78879999999975,722.7720000000003,1165.7708000000002,1523.5639999999994,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.40040000000001,58.45840000000002,90.84200000000003,116.30320000000005,TOVJUL_clean_primitive
357.7887999999997,722.7720000000003,1165.7708000000002,1523.5639999999996,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.400400000000012,58.45840000000002,90.84200000000001,116.30320000000005,TOVJUL_clean_primitive
357.7887999999999,722.7720000000006,1165.7708000000002,1523.5639999999999,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.400400000000015,58.458400000000026,90.84200000000001,116.30320000000002,TOVJUL_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,TOVJUL_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.1436,5.845,3.2412,TOVJUL_clean_primitive
357.78879999999987,722.7720000000005,1165.7708000000005,1523.5639999999999,1732.0,3648.0,5744.0,6768.0,53.0,112.0,180.0,248.0,292.0,744.0,1124.0,1400.0,24.400400000000015,58.458400000000026,90.84200000000001,116.30320000000003,TOVJUL_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.143600000000001,5.845,3.2412,TOVJUL_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.1436,5.845,3.2412,TOVJUL_clean_primitive
