lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
10.9696,11.015999999999998,23.36373333333333,18.290666666666667,59.0,60.0,107.33333333333333,67.66666666666667,1.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,2.0,6.0,8.0,7.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.0323000000000002,36.980000000000004,95.67333333333333,136.63507600000003,122.71599333333336,0.0,0.9200000000000003,1.4800000000000002,2.026666666666667,0.0,2.0,6.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,-2.0,-1.3333333333333333,-1.6666666666666667,0.0,-0.040000000000000036,0.2133333333333333,0.3266666666666666,0.0,-6.6000000000000005,-4.671406666666667,-5.107110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOCQEJ
10.9696,11.015999999999998,23.36373333333333,18.290666666666667,59.0,60.0,107.33333333333333,67.66666666666667,1.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,2.0,6.0,8.0,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3,1.0323,36.98,95.67333333333333,136.635076,122.71599333333334,0.0,0.9200000000000003,1.4800000000000002,2.026666666666667,0.0,2.0,6.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,-2.0,-1.3333333333333333,-1.6666666666666667,0.0,-0.040000000000000036,0.2133333333333333,0.3266666666666666,0.0,-6.600000000000001,-4.671406666666667,-5.107110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOCQEJ
10.5376,12.137999999999998,24.742799999999995,19.266,56.5,66.0,105.0,73.5,1.0,1.5,3.0,2.5,2.5,7.5,10.0,9.0,0.5477,0.85855,1.4024999999999999,1.1323500000000002,41.425000000000004,113.565,160.962614,142.18514850000003,0.0,0.9350000000000003,1.7750000000000001,1.975,0.0,2.0,8.0,8.5,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.5,0.0,-0.040000000000000036,0.33999999999999997,0.32999999999999996,0.0,-6.9,-4.007110000000001,-5.057110000000001,11.833599999999999,8.771999999999998,20.605599999999995,16.34,64.0,48.0,112.0,56.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5328999999999999,0.5621,1.095,0.8322,28.09,59.89,87.98,83.777683,0.0,0.8900000000000001,0.8900000000000001,2.13,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,-0.040000000000000036,0.31999999999999995,0.0,-6.000000000000001,-6.000000000000001,-5.207110000000001,VOCQEJ
10.5376,12.137999999999998,24.7428,19.266,56.5,66.0,105.0,73.5,1.0,1.5,3.0,2.5,2.5,7.5,10.0,9.0,0.5477,0.85855,1.4024999999999999,1.1323500000000002,41.425000000000004,113.565,160.96261400000003,142.18514850000003,0.0,0.9350000000000003,1.7750000000000001,1.975,0.0,2.0,8.0,8.5,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.5,0.0,-0.040000000000000036,0.33999999999999997,0.32999999999999996,0.0,-6.9,-4.007110000000001,-5.057110000000001,11.833599999999999,8.771999999999998,20.605599999999995,16.34,64.0,48.0,112.0,56.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5328999999999999,0.5621,1.095,0.8322,28.09,59.89,87.98,83.777683,0.0,0.8900000000000001,0.8900000000000001,2.13,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,-0.040000000000000036,0.31999999999999995,0.0,-6.000000000000001,-6.000000000000001,-5.207110000000001,VOCQEJ
10.9696,11.015999999999998,23.36373333333333,18.290666666666667,59.0,60.0,107.33333333333333,67.66666666666667,1.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,2.0,6.0,8.0,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3,1.0323,36.98,95.67333333333333,136.635076,122.71599333333334,0.0,0.9200000000000003,1.4800000000000002,2.026666666666667,0.0,2.0,6.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,-2.0,-1.3333333333333333,-1.6666666666666667,0.0,-0.040000000000000036,0.2133333333333333,0.3266666666666666,0.0,-6.600000000000001,-4.671406666666667,-5.107110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOCQEJ
10.5376,12.137999999999998,24.7428,19.266,56.5,66.0,105.0,73.5,1.0,1.5,3.0,2.5,2.5,7.5,10.0,9.0,0.5477,0.85855,1.4024999999999999,1.1323500000000002,41.425000000000004,113.565,160.96261400000003,142.18514850000003,0.0,0.9350000000000003,1.7750000000000001,1.975,0.0,2.0,8.0,8.5,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.5,0.0,-0.040000000000000036,0.33999999999999997,0.32999999999999996,0.0,-6.9,-4.007110000000001,-5.057110000000001,11.833599999999999,8.771999999999998,20.605599999999995,16.34,64.0,48.0,112.0,56.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5328999999999999,0.5621,1.095,0.8322,28.09,59.89,87.98,83.777683,0.0,0.8900000000000001,0.8900000000000001,2.13,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,-0.040000000000000036,0.31999999999999995,0.0,-6.000000000000001,-6.000000000000001,-5.207110000000001,VOCQEJ
10.5376,12.137999999999998,24.742799999999995,19.266,56.5,66.0,105.0,73.5,1.0,1.5,3.0,2.5,2.5,7.5,10.0,9.0,0.5477,0.85855,1.4024999999999999,1.1323500000000002,41.425000000000004,113.565,160.962614,142.18514850000003,0.0,0.9350000000000003,1.7750000000000001,1.975,0.0,2.0,8.0,8.5,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.5,0.0,-0.040000000000000036,0.33999999999999997,0.32999999999999996,0.0,-6.9,-4.007110000000001,-5.057110000000001,11.833599999999999,8.771999999999998,20.605599999999995,16.34,64.0,48.0,112.0,56.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5328999999999999,0.5621,1.095,0.8322,28.09,59.89,87.98,83.777683,0.0,0.8900000000000001,0.8900000000000001,2.13,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,-0.040000000000000036,0.31999999999999995,0.0,-6.000000000000001,-6.000000000000001,-5.207110000000001,VOCQEJ
10.9696,11.015999999999998,23.36373333333333,18.290666666666667,59.0,60.0,107.33333333333333,67.66666666666667,1.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,2.0,6.0,8.0,7.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.0323000000000002,36.980000000000004,95.67333333333333,136.635076,122.71599333333336,0.0,0.9200000000000003,1.4800000000000002,2.026666666666667,0.0,2.0,6.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,-2.0,-1.3333333333333333,-1.6666666666666667,0.0,-0.040000000000000036,0.2133333333333333,0.3266666666666666,0.0,-6.6000000000000005,-4.671406666666667,-5.107110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOCQEJ
10.9696,11.015999999999998,23.36373333333333,18.290666666666667,59.0,60.0,107.33333333333333,67.66666666666667,1.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,2.0,6.0,8.0,7.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.0323000000000002,36.980000000000004,95.67333333333333,136.63507600000003,122.71599333333336,0.0,0.9200000000000003,1.4800000000000002,2.026666666666667,0.0,2.0,6.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,-2.0,-1.3333333333333333,-1.6666666666666667,0.0,-0.040000000000000036,0.2133333333333333,0.3266666666666666,0.0,-6.6000000000000005,-4.671406666666667,-5.107110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOCQEJ
10.9696,11.015999999999998,23.36373333333333,18.290666666666667,59.0,60.0,107.33333333333333,67.66666666666667,1.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,2.0,6.0,8.0,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3,1.0323,36.98,95.67333333333333,136.635076,122.71599333333334,0.0,0.9200000000000003,1.4800000000000002,2.026666666666667,0.0,2.0,6.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,-2.0,-1.3333333333333333,-1.6666666666666667,0.0,-0.040000000000000036,0.2133333333333333,0.3266666666666666,0.0,-6.600000000000001,-4.671406666666667,-5.107110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOCQEJ
