f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
132.0136,270.46560000000005,396.0308,408.23499999999996,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.6066,19.699000000000005,27.7256,27.112600000000008,VOTKEW_clean_primitive
132.0136,270.46560000000005,396.0308,408.23500000000007,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.6066,19.699000000000005,27.7256,27.112600000000008,VOTKEW_clean_primitive
122.22819999999999,268.82099999999997,406.2200000000001,458.81200000000007,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.149200000000002,19.850600000000004,27.907200000000003,28.971600000000002,VOTKEW_clean_primitive
122.22819999999999,268.82099999999997,406.2200000000001,458.81200000000007,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.149200000000002,19.850600000000004,27.907200000000003,28.971600000000002,VOTKEW_clean_primitive
132.0136,270.46560000000005,396.03080000000006,408.23500000000007,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.606600000000002,19.699,27.725600000000004,27.1126,VOTKEW_clean_primitive
132.0136,270.46560000000005,396.03080000000006,408.2350000000001,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.6066,19.699,27.725600000000004,27.1126,VOTKEW_clean_primitive
132.01360000000003,270.46560000000005,396.0308,408.2350000000001,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.606599999999998,19.699,27.725600000000004,27.1126,VOTKEW_clean_primitive
132.0136,270.46560000000005,396.03080000000006,408.2350000000001,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.6066,19.699,27.725600000000004,27.1126,VOTKEW_clean_primitive
122.22820000000003,268.8210000000001,406.2200000000001,458.81199999999995,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.971600000000013,VOTKEW_clean_primitive
122.22820000000003,268.8210000000001,406.2200000000001,458.81199999999995,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.971600000000013,VOTKEW_clean_primitive
132.01360000000003,270.46560000000005,396.03080000000006,408.23500000000007,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.6066,19.699,27.725600000000004,27.112600000000008,VOTKEW_clean_primitive
132.01360000000003,270.46560000000005,396.03080000000006,408.23500000000007,616.0,1278.0,1766.0,1540.0,18.0,38.0,56.0,62.0,94.0,228.0,314.0,298.0,8.6066,19.699,27.725600000000004,27.112600000000008,VOTKEW_clean_primitive
