f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
116.5608,223.99200000000002,360.66420000000005,434.61740000000003,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633,16.277800000000003,23.6126,25.081799999999994,WEJSAH_clean_primitive
116.5608,223.99200000000002,360.66420000000005,434.61739999999986,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633,16.277800000000003,23.612600000000008,25.081799999999998,WEJSAH_clean_primitive
116.5608,223.99200000000005,360.66420000000005,434.61740000000003,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633000000000004,16.277800000000003,23.6126,25.081799999999994,WEJSAH_clean_primitive
134.06140000000005,320.688,646.0632,724.608,424.0,1152.0,1800.0,1584.0,22.0,48.0,96.0,120.0,144.0,384.0,648.0,672.0,7.4502,20.69760000000001,35.942400000000006,41.21040000000001,WEJSAH_clean_primitive
134.06140000000005,320.688,646.0632,724.608,424.0,1152.0,1800.0,1584.0,22.0,48.0,96.0,120.0,144.0,384.0,648.0,672.0,7.4502,20.69760000000001,35.942400000000006,41.21040000000001,WEJSAH_clean_primitive
116.5608,223.99200000000002,360.66420000000005,434.6174000000001,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633,16.277800000000003,23.6126,25.081799999999998,WEJSAH_clean_primitive
116.5608,223.99200000000002,360.66420000000005,434.6174000000001,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633,16.277800000000003,23.612600000000004,25.081799999999994,WEJSAH_clean_primitive
116.5608,223.99200000000005,360.66420000000005,434.6174,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633,16.277800000000006,23.6126,25.081799999999998,WEJSAH_clean_primitive
116.5608,223.992,360.6642,434.6174000000001,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633,16.277800000000003,23.6126,25.081799999999998,WEJSAH_clean_primitive
116.5608,223.99200000000002,360.66420000000005,434.6174000000001,486.0,936.0,1320.0,1352.0,17.0,34.0,54.0,66.0,88.0,214.0,278.0,266.0,7.1633,16.277800000000006,23.612600000000004,25.0818,WEJSAH_clean_primitive
134.06140000000005,320.6880000000001,646.0632,724.6080000000004,424.0,1152.0,1800.0,1584.0,22.0,48.0,96.0,120.0,144.0,384.0,648.0,672.0,7.450199999999998,20.69760000000001,35.942399999999985,41.21040000000002,WEJSAH_clean_primitive
134.06140000000005,320.6880000000001,646.0632,724.6080000000004,424.0,1152.0,1800.0,1584.0,22.0,48.0,96.0,120.0,144.0,384.0,648.0,672.0,7.450199999999998,20.69760000000001,35.942399999999985,41.21040000000002,WEJSAH_clean_primitive
