f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
106.5585,241.52800000000002,462.97339999999986,508.215,1428.0,3910.0,4862.0,3480.0,14.0,36.0,60.0,66.0,130.0,456.0,434.0,248.0,9.8462,27.8748,42.307600000000015,40.3634,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
106.5585,223.984,467.51239999999984,521.22,1428.0,3814.0,4886.0,3552.0,14.0,34.0,60.0,68.0,118.0,386.0,400.0,224.0,9.8462,26.750600000000002,42.246,41.5492,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
203.74179999999993,392.1599999999999,843.6659999999997,934.992,4648.0,8832.0,18960.0,20160.0,23.0,56.0,96.0,132.0,152.0,416.0,720.0,864.0,17.3495,44.092000000000006,76.77600000000001,102.5796,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
203.74179999999993,392.15999999999985,843.6659999999997,934.992,4648.0,8832.0,18960.0,20160.0,23.0,56.0,96.0,132.0,152.0,416.0,720.0,864.0,17.3495,44.092000000000006,76.77600000000001,102.5796,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
203.74179999999996,392.15999999999985,843.6659999999997,934.992,4648.0,8832.0,18960.0,20160.0,23.0,56.0,96.0,132.0,152.0,416.0,720.0,864.0,17.3495,44.092000000000006,76.77600000000001,102.5796,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
203.74179999999993,392.15999999999985,843.6659999999997,934.992,4648.0,8832.0,18960.0,20160.0,23.0,56.0,96.0,132.0,152.0,416.0,720.0,864.0,17.3495,44.092000000000006,76.77600000000001,102.5796,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
106.5585,223.984,467.51239999999996,521.2199999999999,1428.0,3814.0,4886.0,3552.0,14.0,34.0,60.0,68.0,118.0,386.0,400.0,224.0,9.8462,26.750600000000002,42.246,41.549200000000006,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
106.5585,223.984,467.51239999999996,521.2199999999999,1428.0,3814.0,4886.0,3552.0,14.0,34.0,60.0,68.0,118.0,386.0,400.0,224.0,9.8462,26.7506,42.245999999999995,41.5492,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
106.5585,223.98400000000007,467.5124,521.2199999999999,1428.0,3814.0,4886.0,3552.0,14.0,34.0,60.0,68.0,118.0,386.0,400.0,224.0,9.8462,26.750600000000002,42.246,41.54919999999999,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
106.5585,241.528,462.97339999999986,508.215,1428.0,3910.0,4862.0,3480.0,14.0,36.0,60.0,66.0,130.0,456.0,434.0,248.0,9.846200000000001,27.8748,42.307599999999994,40.36339999999999,2.5853571428571414,27.06985714285713,22.04357142857143,46.56728571428572,782.1428571428571,1180.7142857142858,2237.1428571428573,1928.5714285714287,1.0,5.285714285714286,6.0,9.428571428571429,30.142857142857142,82.85714285714286,96.0,109.71428571428571,1.8086714285714276,5.456299999999997,7.423285714285712,9.399514285714288,0.0,-8.535714285714285,-4.114285714285716,-13.319999999999999,0.0,100.0,90.0,203.14285714285714,0.0,0.0,0.0,0.0,0.0,15.857142857142858,12.857142857142858,23.142857142857142,0.0,3.142857142857141,2.5199999999999996,5.5028571428571444,XANKOO_clean_primitive
