f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
221.77140000000003,507.19500000000016,804.5264000000001,929.2720000000003,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000003,37.31420000000002,55.78520000000002,59.70560000000001,XOMCOT_clean_primitive
221.77140000000003,507.19500000000016,804.5264000000001,929.2720000000003,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000003,37.31420000000002,55.78520000000002,59.70560000000001,XOMCOT_clean_primitive
221.77140000000003,507.1950000000002,804.5264,929.2720000000002,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000003,37.314200000000014,55.78520000000002,59.70560000000001,XOMCOT_clean_primitive
221.77140000000003,507.1950000000002,804.5264,929.2720000000002,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000003,37.314200000000014,55.78520000000002,59.70560000000001,XOMCOT_clean_primitive
174.98849999999996,348.789,544.0004,647.4529999999999,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.360100000000001,26.210800000000006,38.230399999999996,43.36080000000001,XOMCOT_clean_primitive
174.9885,348.789,544.0004,647.4529999999999,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.360100000000001,26.210800000000006,38.230399999999996,43.36080000000001,XOMCOT_clean_primitive
221.77140000000003,507.1950000000003,804.5264000000001,929.272,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000008,37.31420000000002,55.78520000000002,59.705600000000004,XOMCOT_clean_primitive
221.77140000000003,507.1950000000003,804.5264000000001,929.272,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000008,37.31420000000002,55.78520000000002,59.705600000000004,XOMCOT_clean_primitive
174.9885,348.7890000000001,544.0004,647.4529999999999,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.3601,26.210800000000006,38.2304,43.360800000000026,XOMCOT_clean_primitive
174.9885,348.7890000000001,544.0004,647.4529999999999,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.3601,26.210800000000006,38.2304,43.360800000000026,XOMCOT_clean_primitive
221.77140000000003,507.1950000000001,804.5264000000001,929.272,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000008,37.314200000000014,55.78520000000002,59.70560000000001,XOMCOT_clean_primitive
221.77140000000003,507.1950000000001,804.5264000000001,929.272,858.0,2088.0,2948.0,2740.0,36.0,78.0,124.0,152.0,202.0,510.0,748.0,776.0,14.838800000000008,37.314200000000014,55.78520000000002,59.70560000000001,XOMCOT_clean_primitive
174.9885,348.78900000000004,544.0004,647.4530000000002,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.360100000000003,26.210800000000003,38.230399999999996,43.360800000000005,XOMCOT_clean_primitive
174.9885,348.78900000000004,544.0004,647.4530000000002,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.360100000000005,26.210800000000003,38.230399999999996,43.360800000000005,XOMCOT_clean_primitive
174.9885,348.78900000000004,544.0003999999999,647.4529999999999,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.3601,26.21080000000001,38.2304,43.36080000000002,XOMCOT_clean_primitive
174.9885,348.78900000000004,544.0003999999999,647.4529999999999,780.0,1572.0,2276.0,2348.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,498.0,11.3601,26.21080000000001,38.2304,43.36080000000002,XOMCOT_clean_primitive
