f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
64.4914,133.12259999999998,180.1656,111.26400000000001,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.525800000000002,5.639999999999999,YIZJEY
64.4914,133.1226,180.16559999999998,111.264,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.525800000000002,5.639999999999999,YIZJEY
64.4914,133.1226,180.1656,111.264,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.525800000000002,5.639999999999999,YIZJEY
64.4914,133.1226,180.16559999999998,111.26400000000001,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.525800000000002,5.639999999999999,YIZJEY
74.1714,174.92260000000005,251.0056,164.76800000000003,273.0,598.0,706.0,308.0,11.0,26.0,40.0,24.0,78.0,208.0,198.0,120.0,4.120299999999999,10.2674,13.034400000000002,7.859999999999998,YIZJEY
74.1714,174.9226,251.00560000000002,164.76800000000006,273.0,598.0,706.0,308.0,11.0,26.0,40.0,24.0,78.0,208.0,198.0,120.0,4.120299999999999,10.267399999999999,13.034400000000005,7.859999999999998,YIZJEY
64.4914,133.1226,180.16559999999998,111.264,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.525800000000002,5.639999999999999,YIZJEY
64.4914,133.12259999999998,180.1656,111.26400000000001,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.5258,5.639999999999999,YIZJEY
40.296899999999994,45.2016,71.0016,0.0,417.0,720.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.7222999999999997,4.6428,3.1973999999999996,0.0,YIZJEY
40.296899999999994,45.2016,71.0016,0.0,417.0,720.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.7222999999999997,4.6428,3.1973999999999996,0.0,YIZJEY
64.4914,133.1226,180.16560000000004,111.264,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.5802,10.525800000000002,5.639999999999999,YIZJEY
64.49140000000001,133.12259999999998,180.16559999999998,111.26400000000001,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.5258,5.64,YIZJEY
74.1714,174.92260000000002,251.00560000000002,164.76800000000003,273.0,598.0,706.0,308.0,11.0,26.0,40.0,24.0,78.0,208.0,198.0,120.0,4.120299999999999,10.2674,13.0344,7.859999999999998,YIZJEY
74.1714,174.9226,251.00560000000002,164.76800000000003,273.0,598.0,706.0,308.0,11.0,26.0,40.0,24.0,78.0,208.0,198.0,120.0,4.120299999999999,10.2674,13.034400000000003,7.859999999999998,YIZJEY
64.4914,133.12259999999998,180.1656,111.26400000000001,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.5258,5.64,YIZJEY
64.4914,133.1226,180.16559999999998,111.264,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.525800000000002,5.639999999999999,YIZJEY
64.4914,133.1226,180.16559999999998,111.264,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465,8.580200000000001,10.525800000000002,5.639999999999998,YIZJEY
74.1714,174.92260000000002,251.0056,164.76800000000003,273.0,598.0,706.0,308.0,11.0,26.0,40.0,24.0,78.0,208.0,198.0,120.0,4.120299999999999,10.267399999999999,13.034400000000002,7.859999999999998,YIZJEY
64.4914,133.1226,180.16559999999998,111.26400000000001,271.0,570.0,672.0,252.0,9.0,18.0,26.0,16.0,44.0,96.0,104.0,56.0,3.8465000000000007,8.5802,10.5258,5.64,YIZJEY
40.2969,45.2016,71.0016,0.0,417.0,720.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.7222999999999997,4.6428,3.1973999999999996,0.0,YIZJEY
74.1714,174.92259999999996,251.00559999999996,164.76800000000003,273.0,598.0,706.0,308.0,11.0,26.0,40.0,24.0,78.0,208.0,198.0,120.0,4.120299999999999,10.267399999999997,13.034400000000002,7.8599999999999985,YIZJEY
40.2969,45.2016,71.0016,0.0,417.0,720.0,384.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,2.7222999999999997,4.6428,3.1973999999999996,0.0,YIZJEY
